Predecessor,AV,AVP,Key,Diff,DiffAbs,Count
*,0.04401392708990519,-0.03286956188634642,0.01114436520355877,0.07688348897625161,0.07688348897625161,142.0
a,0.0002343132571299062,-0.00023159770613667883,2.715550993227366e-06,0.00046591096326658503,0.00046591096326658503,16.0
a.te,0.033502837299611364,-0.008830549169036639,0.024672288130574725,0.042333386468648,0.042333386468648,20.0
e,0.011664867845088423,-0.009882581982286361,0.0017822858628020622,0.021547449827374783,0.021547449827374783,64.0
e.te,-0.0013870602407515982,0.0018279800523812453,0.0004409198116296471,-0.0032150402931328433,0.0032150402931328433,8.0
e.ō,0.004192182840707309,-0.0027623986268236903,0.001429784213883619,0.006954581467531,0.006954581467531,8.0
he,-0.006935301203757993,0.009139900261906229,0.002204599058148236,-0.01607520146566422,0.01607520146566422,24.0
hei,-0.0027741204815031964,0.0036559601047624905,0.0008818396232592941,-0.0064300805862656865,0.0064300805862656865,10.0
i,-0.02372413904549424,0.05210931203149397,0.028385172985999733,-0.07583345107698822,0.07583345107698822,38.0
i.ngā,-0.006849146693645553,0.01353953833147813,0.006690391637832577,-0.020388685025123685,0.020388685025123685,12.0
i.te,0.014099774336346524,-0.010323234337501685,0.003776539998844839,0.02442300867384821,0.02442300867384821,38.0
i.tā,0.004192182840707309,-0.0027623986268236903,0.001429784213883619,0.006954581467531,0.006954581467531,8.0
ka,0.033537462725658475,-0.022099189014589522,0.011438273711068953,0.055636651740248,0.055636651740248,62.0
kei,0.004192182840707309,-0.0027623986268236903,0.001429784213883619,0.006954581467531,0.006954581467531,8.0
kei.te,0.004192182840707309,-0.0027623986268236903,0.001429784213883619,0.006954581467531,0.006954581467531,8.0
ki,-0.004870211901856851,0.012836717463172363,0.007966505561315512,-0.01770692936502921,0.01770692936502921,10.0
ki.ngā,0.004192182840707309,-0.0027623986268236903,0.001429784213883619,0.006954581467531,0.006954581467531,12.0
ki.tana,0.004192182840707309,-0.0027623986268236903,0.001429784213883619,0.006954581467531,0.006954581467531,8.0
ki.te,0.005899513463729212,-0.004664913295160715,0.0012346001685684966,0.010564426758889927,0.010564426758889927,24.0
kia,-0.014406505847932839,0.021698351286574342,0.007291845438641503,-0.03610485713450718,0.03610485713450718,36.0
ko,-0.0027741204815031964,0.0036559601047624905,0.0008818396232592941,-0.0064300805862656865,0.0064300805862656865,12.0
ko.ngā,0.004192182840707309,-0.0027623986268236903,0.001429784213883619,0.006954581467531,0.006954581467531,10.0
ko.taku,-0.0013870602407515982,0.0018279800523812453,0.0004409198116296471,-0.0032150402931328433,0.0032150402931328433,8.0
ko.te,-0.020067076953719714,0.03305751915389258,0.012990442200172866,-0.05312459610761229,0.05312459610761229,40.0
ko.tō,-0.004870211901856851,0.012836717463172363,0.007966505561315512,-0.01770692936502921,0.01770692936502921,8.0
kua,-0.0013286793114411623,0.0014008327574929341,7.215344605177184e-05,-0.002729512068934096,0.002729512068934096,24.0
me,0.004192182840707309,-0.0027623986268236903,0.001429784213883619,0.006954581467531,0.006954581467531,8.0
me.taku,0.004192182840707309,-0.0027623986268236903,0.001429784213883619,0.006954581467531,0.006954581467531,8.0
me.te,0.004192182840707309,-0.0027623986268236903,0.001429784213883619,0.006954581467531,0.006954581467531,8.0
mā,-0.008353363562962103,0.04403494964316447,0.03568158608020237,-0.05238831320612657,0.05238831320612657,14.0
mā.te,-0.004870211901856851,0.012836717463172363,0.007966505561315512,-0.01770692936502921,0.01770692936502921,8.0
mō.ngā,-0.004870211901856851,0.012836717463172363,0.007966505561315512,-0.01770692936502921,0.01770692936502921,8.0
mō.te,-0.004870211901856851,0.012836717463172363,0.007966505561315512,-0.01770692936502921,0.01770692936502921,8.0
mō.ō,0.004192182840707309,-0.0027623986268236903,0.001429784213883619,0.006954581467531,0.006954581467531,8.0
ngā,0.0039027171919174754,-0.0034288773562542057,0.0004738398356632697,0.007331594548171681,0.007331594548171681,24.0
nā,0.0019513585959587377,-0.0017144386781271029,0.00023691991783163485,0.0036657972740858405,0.0036657972740858405,12.0
nā.te,-0.004161180722254796,0.005483940157143738,0.0013227594348889414,-0.009645120879398533,0.009645120879398533,14.0
nō,0.004192182840707309,-0.0027623986268236903,0.001429784213883619,0.006954581467531,0.006954581467531,8.0
nō.te,-0.004870211901856851,0.012836717463172363,0.007966505561315512,-0.01770692936502921,0.01770692936502921,10.0
o,-0.0027741204815031964,0.0036559601047624905,0.0008818396232592941,-0.0064300805862656865,0.0064300805862656865,10.0
o.ngā,0.0019513585959587377,-0.0017144386781271029,0.00023691991783163485,0.0036657972740858405,0.0036657972740858405,14.0
o.te,0.012576548522121925,-0.00828719588047107,0.0042893526416508555,0.020863744402592997,0.020863744402592997,20.0
taku,0.004192182840707309,-0.0027623986268236903,0.001429784213883619,0.006954581467531,0.006954581467531,8.0
te,-0.0008924090690804078,0.0009046836716607293,1.2274602580321522e-05,-0.001797092740741137,0.001797092740741137,50.0
tō,0.004192182840707309,-0.0027623986268236903,0.001429784213883619,0.006954581467531,0.006954581467531,8.0
ā,0.004192182840707309,-0.0027623986268236903,0.001429784213883619,0.006954581467531,0.006954581467531,12.0
ā.tō,0.004192182840707309,-0.0027623986268236903,0.001429784213883619,0.006954581467531,0.006954581467531,8.0
ō,0.004192182840707309,-0.0027623986268236903,0.001429784213883619,0.006954581467531,0.006954581467531,8.0
