Predecessor,AV,APV,Key,Diff,DiffAbs,Count
*,-0.04643025205213968,0.06317688997180032,0.01674663791966064,-0.10960714202394001,0.10960714202394001,142.0
a,0.017189215501369936,-0.007309089497377388,0.009880126003992549,0.024498304998747323,0.024498304998747323,16.0
a.te,-0.007738375342023282,0.010529481661966721,0.0027911063199434396,-0.01826785700399,0.01826785700399,20.0
e,-0.006282281040541506,0.006869087511361316,0.0005868064708198107,-0.013151368551902822,0.013151368551902822,64.0
e.te,-0.006152151107973274,0.0209278302647296,0.014775679156756327,-0.027079981372702875,0.027079981372702875,8.0
e.ō,0.0016283044284744618,-0.001384754620796658,0.00024354980767780378,0.0030130590492711195,0.0030130590492711195,8.0
he,0.009677382963502984,-0.006583928922178099,0.003093454041324885,0.016261311885681085,0.016261311885681085,24.0
hei,0.0016283044284744618,-0.001384754620796658,0.00024354980767780378,0.0030130590492711195,0.0030130590492711195,10.0
i,0.0048849132854233875,-0.004154263862389975,0.0007306494230334129,0.009039177147813361,0.009039177147813361,38.0
i.ngā,0.0016283044284744618,-0.001384754620796658,0.00024354980767780378,0.0030130590492711195,0.0030130590492711195,12.0
i.te,0.0025623214812987172,-0.0024211869647599465,0.00014113451653877075,0.004983508446058663,0.004983508446058663,38.0
i.tā,0.0016283044284744618,-0.001384754620796658,0.00024354980767780378,0.0030130590492711195,0.0030130590492711195,8.0
ka,0.023762627799616614,-0.01768234002396685,0.006080287775649763,0.041444967823583465,0.041444967823583465,62.0
kei,0.0016283044284744618,-0.001384754620796658,0.00024354980767780378,0.0030130590492711195,0.0030130590492711195,8.0
kei.te,0.0016283044284744618,-0.001384754620796658,0.00024354980767780378,0.0030130590492711195,0.0030130590492711195,8.0
ki,-0.006152151107973274,0.0209278302647296,0.014775679156756327,-0.027079981372702875,0.027079981372702875,10.0
ki.ngā,-0.009413025105878398,0.024015282000894887,0.014602256895016489,-0.03342830710677329,0.03342830710677329,12.0
ki.tana,0.0016283044284744618,-0.001384754620796658,0.00024354980767780378,0.0030130590492711195,0.0030130590492711195,8.0
ki.te,-0.007738375342023282,0.010529481661966721,0.0027911063199434396,-0.01826785700399,0.01826785700399,24.0
kia,0.011121451222227496,-0.00810684539642224,0.003014605825805256,0.019228296618649734,0.019228296618649734,36.0
ko,-0.005337998893736044,0.009079160511568145,0.0037411616178321004,-0.014417159405304188,0.014417159405304188,12.0
ko.ngā,-0.005337998893736044,0.009079160511568145,0.0037411616178321004,-0.014417159405304188,0.014417159405304188,10.0
ko.taku,-0.006152151107973274,0.0209278302647296,0.014775679156756327,-0.027079981372702875,0.027079981372702875,8.0
ko.te,0.03437843100273987,-0.014618178994754776,0.019760252007985098,0.048996609997494646,0.048996609997494646,40.0
ko.tō,-0.002668999446868022,0.004539580255784072,0.0018705808089160502,-0.007208579702652094,0.007208579702652094,8.0
kua,-0.0005101825668529023,0.0005206478502755258,1.0465283422623562e-05,-0.001030830417128428,0.001030830417128428,24.0
me,0.0016283044284744618,-0.001384754620796658,0.00024354980767780378,0.0030130590492711195,0.0030130590492711195,8.0
me.taku,0.0016283044284744618,-0.001384754620796658,0.00024354980767780378,0.0030130590492711195,0.0030130590492711195,8.0
me.te,0.0016283044284744618,-0.001384754620796658,0.00024354980767780378,0.0030130590492711195,0.0030130590492711195,8.0
mā,-0.006152151107973274,0.0209278302647296,0.014775679156756327,-0.027079981372702875,0.027079981372702875,14.0
mā.te,-0.002668999446868022,0.004539580255784072,0.0018705808089160502,-0.007208579702652094,0.007208579702652094,8.0
mō.ngā,-0.002668999446868022,0.004539580255784072,0.0018705808089160502,-0.007208579702652094,0.007208579702652094,8.0
mō.te,-0.002668999446868022,0.004539580255784072,0.0018705808089160502,-0.007208579702652094,0.007208579702652094,8.0
mō.ō,0.0016283044284744618,-0.001384754620796658,0.00024354980767780378,0.0030130590492711195,0.0030130590492711195,8.0
ngā,0.017109991921850448,-0.009700536730621765,0.007409455191228683,0.026810528652472215,0.026810528652472215,24.0
nā,0.008554995960925224,-0.004850268365310883,0.0037047275956143414,0.013405264326236108,0.013405264326236108,12.0
nā.te,0.008554995960925224,-0.004850268365310883,0.0037047275956143414,0.013405264326236108,0.013405264326236108,14.0
nō,0.0016283044284744618,-0.001384754620796658,0.00024354980767780378,0.0030130590492711195,0.0030130590492711195,8.0
nō.te,-0.006152151107973274,0.0209278302647296,0.014775679156756327,-0.027079981372702875,0.027079981372702875,10.0
o,0.0016283044284744618,-0.001384754620796658,0.00024354980767780378,0.0030130590492711195,0.0030130590492711195,10.0
o.ngā,-0.0018944590223905328,0.002148133022539693,0.00025367400014916037,-0.004042592044930226,0.004042592044930226,14.0
o.te,0.038008901888481966,-0.010774603241891613,0.027234298646590355,0.04878350513037358,0.04878350513037358,20.0
taku,0.0016283044284744618,-0.001384754620796658,0.00024354980767780378,0.0030130590492711195,0.0030130590492711195,8.0
te,0.08758154136016642,-0.022917457897006072,0.06466408346316035,0.11049899925717249,0.11049899925717249,50.0
tō,0.0016283044284744618,-0.001384754620796658,0.00024354980767780378,0.0030130590492711195,0.0030130590492711195,8.0
ā,-0.009413025105878398,0.024015282000894887,0.014602256895016489,-0.03342830710677329,0.03342830710677329,12.0
ā.tō,0.0016283044284744618,-0.001384754620796658,0.00024354980767780378,0.0030130590492711195,0.0030130590492711195,8.0
ō,0.0016283044284744618,-0.001384754620796658,0.00024354980767780378,0.0030130590492711195,0.0030130590492711195,8.0
