count,item,construction
2,whakahaere,na-det-TA-V
2,whakaatu,na-TA-V
2,whakaaro,ma-det-TA-V
2,whakaaro,ma-TA-V
2,whakaara,na-det-TA-V
2,whakaako,na-det-TA-V
2,whakaae,ma-TA-V
2,whai,ma-det-TA-V
2,whaiwhai,ma-TA-V
2,waiho,na-TA-V
2,tūkino,na-TA-V
2,tīmata,na-det-TA-V
2,tārai,na-TA-V
2,turaki,na-det-TA-V
2,tukuna,na-TA-V
2,tono,na-det-TA-V
2,tohu,na-det-TA-V
2,tohu,na-TA-V
2,titiro,na-TA-V
2,tino,na-TA-V
2,tiki,na-det-TA-V
2,tiki,na-TA-V
2,tiaki,ma-det-TA-V
2,tau,ma-TA-V
2,tautoko,na-det-TA-V
2,tautokohia,na-TA-V
2,tarai,ma-TA-V
2,tapa,na-TA-V
2,takatakahi,na-TA-V
2,tahu,na-TA-V
2,tae,na-TA-V
2,taea,ma-TA-V
2,raweke,na-TA-V
2,rapu,na-TA-V
2,rangahau,na-TA-V
2,pōwhiri,ma-TA-V
2,pīkau,ma-det-TA-V
2,pā,na-TA-V
2,pātai,ma-TA-V
2,pikitia,na-det-TA-V
2,para,na-TA-V
2,noho,na-TA-V
2,mōhio,na-TA-V
2,mōhio,ma-TA-V
2,mua,na-TA-V
2,mihi,na-TA-V
2,mau,ma-det-TA-V
2,manaaki,na-det-TA-V
2,kōrero,na-det-TA-V
2,kōrerohia,na-TA-V
2,kī,ma-det-TA-V
2,kīia,ma-TA-V
2,konei,na-TA-V
2,kohi,na-TA-V
2,kohikohi,na-TA-V
2,kite,ma-TA-V
2,kitea,ma-TA-V
2,karanga,na-TA-V
2,inoi,na-TA-V
2,hē,na-TA-V
2,hāpai,na-TA-V
2,hāmene,na-TA-V
2,hiahia,na-TA-V
2,hiahia,ma-TA-V
2,heke,na-TA-V
2,heke,ma-TA-V
2,hautū,ma-TA-V
2,hari,na-det-TA-V
2,haria,na-TA-V
2,haramai,ma-TA-V
2,haina,ma-TA-V
2,arataki,ma-TA-V
2,akona,na-det-TA-V
1,ū,na-TA-V
1,ū,ma-TA-V
1,ō-maru-mutu,ma-TA-V
1,ōrite,na-det-TA-V
1,āwhina,na-det-TA-V
1,āwhinatia,na-TA-V
1,āwherika,na-TA-V
1,āta,ma-det-TA-V
1,āhua,na-TA-V
1,{unclear,ma-det-TA-V
1,wā,na-TA-V
1,wāwāhi,na-det-TA-V
1,wānanga,ma-det-TA-V
1,wānanga,ma-TA-V
1,whītiki,na-TA-V
1,whāriki,na-TA-V
