count,item,construction
1,tara-naki,ma-TA-A
1,taraipiunara,ma-TA-A
1,tangi-ora,na-TA-A
1,tamehana,na-TA-A
1,tama-nui-te-rangi,na-det-TA-A
1,tama-hori,ma-TA-A
1,taku,na-TA-A
1,taku,ma-det-TA-A
1,take,ma-TA-A
1,tai,ma-TA-A
1,tainui,ma-det-TA-A
1,taina,ma-TA-A
1,tahu,na-TA-A
1,rōpū,na-TA-A
1,rōpū,ma-TA-A
1,rā,na-det-TA-A
1,rāwiri,na-TA-A
1,rino,na-TA-A
1,rino,ma-det-TA-A
1,rino,ma-TA-A
1,ringaringa,na-TA-A
1,reti,na-TA-A
1,rena,ma-det-TA-A
1,rena,ma-TA-A
1,reimana,ma-TA-A
1,rawa,ma-det-TA-A
1,rangi-pare,na-TA-A
1,rangatira,na-det-TA-A
1,rangatira,ma-det-TA-A
1,rangatira,ma-TA-A
1,rangatahi,na-det-TA-A
1,pū,na-TA-A
1,pū,ma-TA-A
1,pūtea,ma-det-TA-A
1,pūrewa,na-TA-A
1,pōti,ma-det-TA-A
1,pā,na-TA-A
1,putiputi,ma-TA-A
1,puni,ma-TA-A
1,pungarehu,ma-det-TA-A
1,puku,ma-TA-A
1,puhi,na-TA-A
1,puea,na-det-TA-A
1,pononga,ma-det-TA-A
1,pononga,ma-TA-A
1,poari,ma-det-TA-A
1,piri,na-det-TA-A
1,pirimia,na-TA-A
1,pirimia,ma-TA-A
1,pepa,ma-TA-A
1,pene,na-TA-A
1,penehīni,ma-TA-A
1,papa,ma-TA-A
1,pakeke,ma-TA-A
1,ohu,na-TA-A
1,nāhi,ma-TA-A
1,nui,ma-TA-A
1,none,ma-TA-A
1,niu-tīreni,na-TA-A
1,niko,na-TA-A
1,niho,na-det-TA-A
1,ngāi,ma-TA-A
1,napi,ma-TA-A
1,nanakia,na-TA-A
1,mōhiotanga,na-TA-A
1,mīhini,ma-TA-A
1,mīhana,na-TA-A
1,māui-tikitiki-ā-taranga,na-TA-A
1,māui,na-TA-A
1,māua,ma-TA-A
1,mātua,na-TA-A
1,mātou,na-det-TA-A
1,mātauranga,ma-TA-A
1,māreikura,ma-TA-A
1,mānuka,ma-TA-A
1,māmā,na-det-TA-A
1,māmā,ma-TA-A
1,moutere,na-TA-A
1,motu,na-TA-A
1,moni,ma-TA-A
1,moana,na-det-TA-A
1,mihinare,na-TA-A
1,mere,na-TA-A
1,mema,ma-TA-A
1,maunga,ma-TA-A
1,matua-te-mana,na-TA-A
1,matua,na-TA-A
1,matawaka,ma-det-TA-A
1,matatau,ma-TA-A
1,marae,ma-TA-A
1,mana,ma-det-TA-A
1,mana,ma-TA-A
1,mahi,na-TA-A
1,mahi,ma-TA-A
1,maaka,na-det-TA-A
1,kūare,na-TA-A
1,kōti,na-det-TA-A
1,kōrua,ma-det-TA-A
1,kōrero,ma-TA-A
1,kōmihana,ma-TA-A
1,kōhanga,ma-TA-A
1,kāwana,ma-det-TA-A
1,kurī,na-TA-A
1,kura,na-det-TA-A
1,kura,na-TA-A
1,kuratini,ma-TA-A
1,kupu,ma-det-TA-A
1,kupu,ma-TA-A
1,kuia,na-TA-A
1,kuia,ma-TA-A
1,koutou,na-det-TA-A
1,koroua,ma-TA-A
1,kore,na-TA-A
1,koporeihana,ma-TA-A
1,kooti,na-TA-A
1,konā,na-det-TA-A
1,konā,na-TA-A
1,komiti,ma-det-TA-A
1,komiti,ma-TA-A
1,kiri,ma-TA-A
1,kiore,ma-TA-A
1,kaute,ma-TA-A
1,kaupapa,ma-TA-A
1,kaunihera,na-TA-A
1,kaunihera,ma-TA-A
1,kaumātua,na-det-TA-A
1,kaumātua,na-TA-A
1,karauna,na-det-TA-A
1,karauna,ma-TA-A
1,kararehe,na-det-TA-A
1,karakia,ma-TA-A
1,kamupene,ma-det-TA-A
1,kai,ma-TA-A
1,kaitā,na-TA-A
1,kaituhi,na-TA-A
1,kaitango,na-TA-A
1,kaipuke,na-TA-A
1,kaiako,na-det-TA-A
1,kaha,na-det-TA-A
1,kaha,na-TA-A
1,iwi,na-det-TA-A
1,ingoa,ma-det-TA-A
1,ia,na-TA-A
1,ia,ma-TA-A
1,hōne,na-TA-A
1,hīkoi,ma-det-TA-A
1,hākari,ma-TA-A
1,huruhuru,ma-det-TA-A
1,hunga,na-det-TA-A
1,hunga,na-TA-A
1,hotu,na-TA-A
1,hoani,na-TA-A
1,hiku-rangi,ma-TA-A
1,hepi,ma-TA-A
1,haunui,na-TA-A
1,hainamana,ma-TA-A
1,haeretanga,na-TA-A
1,atairangikaahu,na-TA-A
1,aroha,na-det-TA-A
1,apirana,na-det-TA-A
1,apa-nui,na-TA-A
1,ao,ma-det-TA-A
1,aotearoa,ma-TA-A
1,anō,na-TA-A
1,anō,ma-det-TA-A
1,anahera,na-TA-A
