konae,rarangi,kupu,root,suffix,nominal,double_passive
mbc116-not-stripped.txt,18,tukia,tuki,a,no,no
mbc116-not-stripped.txt,18,kOreroNia,kOrero,Nia,no,no
mbc116-not-stripped.txt,31,mauria,mau,ria,no,no
mbc229-not-stripped.txt,15,poipoitia,poipoi,tia,no,no
mbc120-not-stripped.txt,48,kitea,kite,a,no,no
mbc122-not-stripped.txt,13,tiakina,tiaki,na,no,no
mbc122-not-stripped.txt,46,fakahaeretia,fakahaere,tia,no,no
mbc120-not-stripped.txt,55,fakapaohotia,fakapaoho,tia,no,no
mbc057-not-stripped.txt,70,huakina,huaki,na,no,no
mbc062-not-stripped.txt,35,fakapaiNia,fakapai,Nia,no,no
mbc148-not-stripped.txt,15,mauria,mau,ria,no,no
mbc175-not-stripped.txt,25,kitea,kite,a,no,no
mbc197-not-stripped.txt,23,fakahokia,fakahoki,a,no,no
mbc125-not-stripped.txt,3,huihuia,huihui,a,no,no
mbc159-not-stripped.txt,23,hoatuNia,hoatu,Nia,no,no
mbc125-not-stripped.txt,1,fakapUpUtia,fakapUpU,tia,no,no
mbc197-not-stripped.txt,23,pupurihia,pupuri,hia,no,no
mbc145-not-stripped.txt,42,fiua,fiu,a,no,no
mbc197-not-stripped.txt,23,pupurihia,pupuri,hia,no,no
mbc197-not-stripped.txt,23,titirohia,titiro,hia,no,no
mbc057-not-stripped.txt,70,kUareNia,kUare,Nia,no,no
mbc159-not-stripped.txt,23,hAkariNia,hAkari,Nia,no,no
mbc159-not-stripped.txt,23,hopuNia,hopu,Nia,no,no
mbc197-not-stripped.txt,23,tohuNia,tohu,Nia,no,no
mbc045-not-stripped.txt,62,fakatUNia,fakatU,Nia,no,no
mbc148-not-stripped.txt,17,takahia,takahi,a,no,no
mbc058-not-stripped.txt,43,heria,heri,a,no,no
mbc197-not-stripped.txt,23,tukua,tuku,a,no,no
mbc137-not-stripped.txt,12,nekehia,neke,hia,no,no
mbc108-not-stripped.txt,14,fakahaereNia,fakahaere,Nia,no,no
mbc134-not-stripped.txt,14,fakawaia,fakawai,a,no,no
mbc153-not-stripped.txt,18,mOhiotia,mOhio,tia,no,no
mbc153-not-stripped.txt,20,arahina,Arahi,na,no,no
mbc205-not-stripped.txt,12,tIkina,tiki,na,no,no
mbc205-not-stripped.txt,12,hoatuNia,hoatu,Nia,no,no
mbc153-not-stripped.txt,24,tukua,tuku,a,no,no
mbc152-not-stripped.txt,92,nuitia,nui,tia,no,no
mbc205-not-stripped.txt,12,mahia,mahi,a,no,no
mbc153-not-stripped.txt,22,fafaitia,fafai,tia,no,no
mbc153-not-stripped.txt,18,horoia,horoi,a,no,no
mbc153-not-stripped.txt,20,manakohia,manako,hia,no,no
mbc205-not-stripped.txt,7,rukuhia,ruku,hia,no,no
mbc153-not-stripped.txt,26,fakaaria,fakaari,a,no,no
mbc205-not-stripped.txt,4,karaNatia,karaNa,tia,no,no
mbc205-not-stripped.txt,4,arahina,Arahi,na,no,no
mbc205-not-stripped.txt,4,fArikiNia,fAriki,Nia,no,no
mbc195-not-stripped.txt,26,piripihia,piripi,hia,no,no
mbc058-not-stripped.txt,74,hIkoitia,hIkoi,tia,no,no
mbc134-not-stripped.txt,14,meatia,mea,tia,no,no
mbc205-not-stripped.txt,9,waihotia,waiho,tia,no,no
mbc200-not-stripped.txt,18,pautia,pau,tia,no,no
mbc152-not-stripped.txt,92,arohatia,aroha,tia,no,no
mbc153-not-stripped.txt,24,fafaiNia,fafai,Nia,no,no
mbc134-not-stripped.txt,14,murua,muru,a,no,no
mbc205-not-stripped.txt,7,rukuhia,ruku,hia,no,no
mbc205-not-stripped.txt,12,fakarerea,fakarere,a,no,no
mbc105-not-stripped.txt,10,arahitia,Arahi,tia,no,no
mbc205-not-stripped.txt,12,herea,here,a,no,no
mbc062-not-stripped.txt,21,fakakotitiNia,fakakotiti,Nia,no,no
mbc205-not-stripped.txt,11,taea,tae,a,no,no
mbc055-not-stripped.txt,9,takahia,takahi,a,no,no
mbc175-not-stripped.txt,37,mahia,mahi,a,no,no
mbc205-not-stripped.txt,12,mauria,mau,ria,no,no
mbc053-not-stripped.txt,30,fakatutukihia,fakatutuki,hia,no,no
mbc134-not-stripped.txt,14,kawea,kawe,a,no,no
mbc134-not-stripped.txt,14,fakaoraNia,fakaora,Nia,no,no
mbc205-not-stripped.txt,9,mihia,mihi,a,no,no
mbc205-not-stripped.txt,4,karaNatia,karaNa,tia,no,no
mbc205-not-stripped.txt,4,mauria,mau,ria,no,no
mbc123-not-stripped.txt,41,mahia,mahi,a,no,no
mbc205-not-stripped.txt,4,mihiNia,mihi,Nia,no,no
mbc153-not-stripped.txt,20,tukuna,tuku,na,no,no
mbc108-not-stripped.txt,14,fakakahaNia,fakakaha,Nia,no,no
mbc205-not-stripped.txt,12,herea,here,a,no,no
mbc091-not-stripped.txt,6,taea,tae,a,no,no
mbc091-not-stripped.txt,2,fakahokia,fakahoki,a,no,no
mbc200-not-stripped.txt,18,fakapautia,fakapau,tia,no,no
mbc197-not-stripped.txt,22,tapahia,tapahi,a,no,no
mbc153-not-stripped.txt,24,tukua,tuku,a,no,no
mbc102-not-stripped.txt,14,fAitia,fai,tia,no,no
mbc205-not-stripped.txt,12,fiua,fiu,a,no,no
mbc123-not-stripped.txt,39,ririNia,riri,Nia,no,no
mbc061-not-stripped.txt,0,fakapaiNia,fakapai,Nia,no,no
mbc205-not-stripped.txt,4,haria,hari,a,no,no
