SubHead,AV,AVP,Key,Diff,DiffAbs,Count
aituā,-0.0008468928758816351,0.0021030357195303494,0.0012561428436487143,-0.0029499285954119846,0.0029499285954119846,8.0
ako,-0.00207020361991167,0.0029988036251437245,0.0009286000052320547,-0.005069007245055395,0.005069007245055395,60.0
arataki,0.00026542385219683516,-0.0002471663733463014,1.8257478850533754e-05,0.0005125902255431365,0.0005125902255431365,20.0
atawhai,0.001775535986677894,-0.00110226916167171,0.0006732668250061841,0.002877805148349604,0.002877805148349604,14.0
aukati,0.0024642360908692152,-0.0010198803705562763,0.0014443557203129389,0.0034841164614254913,0.0034841164614254913,12.0
awhi,0.0026633039800168417,-0.0016534037425075655,0.0010099002375092761,0.004316707722524407,0.004316707722524407,22.0
eke,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
haehae,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
haere,0.0013706231640086596,-0.0010210746438002083,0.0003495485202084513,0.002391697807808868,0.002391697807808868,20.0
hahau,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
haina,0.0005280707820425522,-0.00043710830051152296,9.096248153102923e-05,0.0009651790825540752,0.0009651790825540752,14.0
hanga,0.007989911940050524,-0.004960211227522695,0.003029700712527829,0.01295012316757322,0.01295012316757322,62.0
haramai,0.0005280707820425522,-0.00043710830051152296,9.096248153102923e-05,0.0009651790825540752,0.0009651790825540752,12.0
hari,-0.001209026637636484,0.0015011498367879582,0.0002921231991514742,-0.0027101764744244423,0.0027101764744244423,34.0
harry,-0.00020150443960608076,0.0002501916394646598,4.8687199858579044e-05,-0.00045169607907074054,0.00045169607907074054,8.0
hauhau,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
hautū,0.006485205513487755,-0.0016104302246210055,0.0048747752888667496,0.00809563573810876,0.00809563573810876,16.0
heke,-0.0004030088792121615,0.0005003832789293196,9.737439971715809e-05,-0.0009033921581414811,0.0009033921581414811,10.0
here,-0.00020150443960608076,0.0002501916394646598,4.8687199858579044e-05,-0.00045169607907074054,0.00045169607907074054,8.0
heri,-0.0012244209095018997,0.004560790948456788,0.0033363700389548888,-0.005785211857958688,0.005785211857958688,10.0
hiahia,-0.0004030088792121615,0.0005003832789293196,9.737439971715809e-05,-0.0009033921581414811,0.0009033921581414811,10.0
hiki,-0.002971267118782498,0.008608087167247327,0.00563682004846483,-0.011579354286029825,0.011579354286029825,26.0
hinga,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
hoatu,-0.0023161298929053817,0.0043136245751104856,0.001997494682205104,-0.006629754468015867,0.006629754468015867,22.0
hohou,-0.0008468928758816351,0.0021030357195303494,0.0012561428436487143,-0.0029499285954119846,0.0029499285954119846,8.0
hoki,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
hoko,0.009195130690772862,-0.003425053304701753,0.005770077386071109,0.012620183995474614,0.012620183995474614,28.0
homai,0.003551071973355788,-0.00220453832334342,0.0013465336500123682,0.005755610296699208,0.005755610296699208,28.0
hono,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
hopu,-0.0014922813121571892,0.007411376320262758,0.005919095008105569,-0.008903657632419947,0.008903657632419947,12.0
horoi,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,10.0
hua,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
hura,-0.0008468928758816351,0.0021030357195303494,0.0012561428436487143,-0.0029499285954119846,0.0029499285954119846,10.0
huri,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
huti,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
hāmene,-0.0012244209095018997,0.004560790948456788,0.0033363700389548888,-0.005785211857958688,0.005785211857958688,12.0
hāpai,0.011090818785778986,-0.0037556088415953647,0.007335209944183621,0.014846427627374351,0.014846427627374351,34.0
hē,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
hūpoki,0.0024642360908692152,-0.0010198803705562763,0.0014443557203129389,0.0034841164614254913,0.0034841164614254913,10.0
ihowa,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
ingarangi,-0.00020150443960608076,0.0002501916394646598,4.8687199858579044e-05,-0.00045169607907074054,0.00045169607907074054,8.0
inoi,-0.0011580649464526908,0.0021568122875552428,0.000998747341102552,-0.0033148772340079336,0.0033148772340079336,14.0
kaha,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
kai,0.006485205513487755,-0.0016104302246210055,0.0048747752888667496,0.00809563573810876,0.00809563573810876,14.0
kaiarataki,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
kaitiaki,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
kaiwhakahaere,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,10.0
kaiārahi,-0.00020150443960608076,0.0002501916394646598,4.8687199858579044e-05,-0.00045169607907074054,0.00045169607907074054,8.0
kapi,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
kapo,-0.00020150443960608076,0.0002501916394646598,4.8687199858579044e-05,-0.00045169607907074054,0.00045169607907074054,8.0
karanga,-0.0023161298929053817,0.0043136245751104856,0.001997494682205104,-0.006629754468015867,0.006629754468015867,24.0
kati,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
kaute,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
kawe,-0.001034034008185329,0.0011554881760831661,0.00012145416789783713,-0.002189522184268495,0.002189522184268495,46.0
kerēmu,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
kimi,-0.002540678627644905,0.006309107158591047,0.003768428530946142,-0.008849785786235952,0.008849785786235952,20.0
kiri,-0.0008468928758816351,0.0021030357195303494,0.0012561428436487143,-0.0029499285954119846,0.0029499285954119846,8.0
kite,0.006754590691349219,-0.0023961784979385837,0.0043584121934106355,0.009150769189287802,0.009150769189287802,20.0
koha,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
kohi,-0.0012244209095018997,0.004560790948456788,0.0033363700389548888,-0.005785211857958688,0.005785211857958688,10.0
kohikohi,-0.0012244209095018997,0.004560790948456788,0.0033363700389548888,-0.005785211857958688,0.005785211857958688,10.0
konei,-0.0004030088792121615,0.0005003832789293196,9.737439971715809e-05,-0.0009033921581414811,0.0009033921581414811,12.0
konā,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
kore,-0.0008468928758816351,0.0021030357195303494,0.0012561428436487143,-0.0029499285954119846,0.0029499285954119846,8.0
kotiti,-0.0008468928758816351,0.0021030357195303494,0.0012561428436487143,-0.0029499285954119846,0.0029499285954119846,8.0
kuhu,-0.0008468928758816351,0.0021030357195303494,0.0012561428436487143,-0.0029499285954119846,0.0029499285954119846,8.0
kui,-0.0008468928758816351,0.0021030357195303494,0.0012561428436487143,-0.0029499285954119846,0.0029499285954119846,8.0
kuia,-0.00020150443960608076,0.0002501916394646598,4.8687199858579044e-05,-0.00045169607907074054,0.00045169607907074054,8.0
kura,-0.00020150443960608076,0.0002501916394646598,4.8687199858579044e-05,-0.00045169607907074054,0.00045169607907074054,8.0
kāwana,-0.00020150443960608076,0.0002501916394646598,4.8687199858579044e-05,-0.00045169607907074054,0.00045169607907074054,8.0
kī,0.0162887087131416,-0.007354313466280225,0.008934395246861376,0.023643022179421824,0.023643022179421824,70.0
kīnaki,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
kōhuru,-0.00203140053604168,0.004203707467646944,0.002172306931605264,-0.006235108003688624,0.006235108003688624,18.0
kōkiri,-0.0004030088792121615,0.0005003832789293196,9.737439971715809e-05,-0.0009033921581414811,0.0009033921581414811,14.0
kōrero,0.04196434083475723,-0.01397904194619546,0.02798529888856177,0.05594338278095269,0.05594338278095269,132.0
maha,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
mahi,0.0026119027151173526,-0.002270090706618758,0.00034181200849859456,0.004881993421736111,0.004881993421736111,80.0
manaaki,0.0031120466209373326,-0.002146652582457736,0.0009653940384795967,0.0052586992033950685,0.0052586992033950685,66.0
mau,-0.002280847416508541,0.0032365055330539037,0.0009556581165453626,-0.005517352949562445,0.005517352949562445,46.0
maumahara,-0.00020150443960608076,0.0002501916394646598,4.8687199858579044e-05,-0.00045169607907074054,0.00045169607907074054,8.0
mea,0.004111894456007365,-0.0021880303777466114,0.0019238640782607537,0.006299924833753977,0.006299924833753977,24.0
mema,-0.00020150443960608076,0.0002501916394646598,4.8687199858579044e-05,-0.00045169607907074054,0.00045169607907074054,8.0
mihi,0.0005280707820425522,-0.00043710830051152296,9.096248153102923e-05,0.0009651790825540752,0.0009651790825540752,12.0
moe,-0.0008468928758816351,0.0021030357195303494,0.0012561428436487143,-0.0029499285954119846,0.0029499285954119846,10.0
moemoe,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
morimori,-0.00020150443960608076,0.0002501916394646598,4.8687199858579044e-05,-0.00045169607907074054,0.00045169607907074054,8.0
motu-ngangara,-0.0008468928758816351,0.0021030357195303494,0.0012561428436487143,-0.0029499285954119846,0.0029499285954119846,8.0
muku,-0.00020150443960608076,0.0002501916394646598,4.8687199858579044e-05,-0.00045169607907074054,0.00045169607907074054,8.0
muru,-0.0021093230912683164,0.006547436416249051,0.004438113324980735,-0.008656759507517368,0.008656759507517368,16.0
mātakitaki,-0.0008468928758816351,0.0021030357195303494,0.0012561428436487143,-0.0029499285954119846,0.0029499285954119846,8.0
mātua,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
mōhio,0.0005280707820425522,-0.00043710830051152296,9.096248153102923e-05,0.0009651790825540752,0.0009651790825540752,14.0
nanakia,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
ngau,-0.0008468928758816351,0.0021030357195303494,0.0012561428436487143,-0.0029499285954119846,0.0029499285954119846,8.0
noho,-0.000806017758424323,0.0010007665578586392,0.00019474879943431618,-0.0018067843162829621,0.0018067843162829621,18.0
ohorere,-0.0008468928758816351,0.0021030357195303494,0.0012561428436487143,-0.0029499285954119846,0.0029499285954119846,8.0
ora,-0.0008468928758816351,0.0021030357195303494,0.0012561428436487143,-0.0029499285954119846,0.0029499285954119846,8.0
oranga,-0.00020150443960608076,0.0002501916394646598,4.8687199858579044e-05,-0.00045169607907074054,0.00045169607907074054,8.0
oti,0.0005280707820425522,-0.00043710830051152296,9.096248153102923e-05,0.0009651790825540752,0.0009651790825540752,12.0
pai,-0.0008468928758816351,0.0021030357195303494,0.0012561428436487143,-0.0029499285954119846,0.0029499285954119846,8.0
pakanga,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
panga,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
paopao,-0.00020150443960608076,0.0002501916394646598,4.8687199858579044e-05,-0.00045169607907074054,0.00045169607907074054,8.0
para,-0.0014922813121571892,0.007411376320262758,0.005919095008105569,-0.008903657632419947,0.008903657632419947,12.0
parau,-0.0008468928758816351,0.0021030357195303494,0.0012561428436487143,-0.0029499285954119846,0.0029499285954119846,8.0
pare,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
patapatai,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
patu,-0.0012244209095018997,0.004560790948456788,0.0033363700389548888,-0.005785211857958688,0.005785211857958688,12.0
pei,-0.0008468928758816351,0.0021030357195303494,0.0012561428436487143,-0.0029499285954119846,0.0029499285954119846,8.0
petihana,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
piki,-0.0008468928758816351,0.0021030357195303494,0.0012561428436487143,-0.0029499285954119846,0.0029499285954119846,8.0
poipoi,0.006485205513487755,-0.0016104302246210055,0.0048747752888667496,0.00809563573810876,0.00809563573810876,14.0
pupuri,-0.000604513318818242,0.0007505749183939791,0.0001460615995757371,-0.0013550882372122212,0.0013550882372122212,16.0
puta,-0.0004030088792121615,0.0005003832789293196,9.737439971715809e-05,-0.0009033921581414811,0.0009033921581414811,10.0
pā,0.0024642360908692152,-0.0010198803705562763,0.0014443557203129389,0.0034841164614254913,0.0034841164614254913,10.0
pākaitore,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
pānui,0.0024642360908692152,-0.0010198803705562763,0.0014443557203129389,0.0034841164614254913,0.0034841164614254913,10.0
pāpaku,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
pātai,0.0024642360908692152,-0.0010198803705562763,0.0014443557203129389,0.0034841164614254913,0.0034841164614254913,10.0
pātukituki,-0.00020150443960608076,0.0002501916394646598,4.8687199858579044e-05,-0.00045169607907074054,0.00045169607907074054,8.0
pēhea,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
pērā,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
pīkau,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,12.0
pīra,-0.0008468928758816351,0.0021030357195303494,0.0012561428436487143,-0.0029499285954119846,0.0029499285954119846,8.0
pōhiri,-0.0021093230912683164,0.006547436416249051,0.004438113324980735,-0.008656759507517368,0.008656759507517368,18.0
pōwhiri,-0.0021093230912683164,0.006547436416249051,0.004438113324980735,-0.008656759507517368,0.008656759507517368,18.0
pūremu,-0.0008468928758816351,0.0021030357195303494,0.0012561428436487143,-0.0029499285954119846,0.0029499285954119846,8.0
rangahau,-0.0004030088792121615,0.0005003832789293196,9.737439971715809e-05,-0.0009033921581414811,0.0009033921581414811,10.0
rapu,0.000782490949152678,-0.000693968025920707,8.852292323197097e-05,0.0014764589750733848,0.0014764589750733848,26.0
raru,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
raupatu,0.0024642360908692152,-0.0010198803705562763,0.0014443557203129389,0.0034841164614254913,0.0034841164614254913,10.0
raweke,-0.0012244209095018997,0.004560790948456788,0.0033363700389548888,-0.005785211857958688,0.005785211857958688,10.0
reo,-0.0008468928758816351,0.0021030357195303494,0.0012561428436487143,-0.0029499285954119846,0.0029499285954119846,10.0
rere,-0.0004030088792121615,0.0005003832789293196,9.737439971715809e-05,-0.0009033921581414811,0.0009033921581414811,10.0
rewherī,-0.0008468928758816351,0.0021030357195303494,0.0012561428436487143,-0.0029499285954119846,0.0029499285954119846,8.0
riro,-0.0008468928758816351,0.0021030357195303494,0.0012561428436487143,-0.0029499285954119846,0.0029499285954119846,8.0
rongoā,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
rua,-0.0004030088792121615,0.0005003832789293196,9.737439971715809e-05,-0.0009033921581414811,0.0009033921581414811,10.0
rui,-0.0004030088792121615,0.0005003832789293196,9.737439971715809e-05,-0.0009033921581414811,0.0009033921581414811,10.0
ruke,-0.0008468928758816351,0.0021030357195303494,0.0012561428436487143,-0.0029499285954119846,0.0029499285954119846,8.0
rāhui,-0.0008468928758816351,0.0021030357195303494,0.0012561428436487143,-0.0029499285954119846,0.0029499285954119846,8.0
rō,-0.00020150443960608076,0.0002501916394646598,4.8687199858579044e-05,-0.00045169607907074054,0.00045169607907074054,8.0
rūkahu,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
rūrū,-0.0008468928758816351,0.0021030357195303494,0.0012561428436487143,-0.0029499285954119846,0.0029499285954119846,8.0
rūātoki,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
stratford,-0.00020150443960608076,0.0002501916394646598,4.8687199858579044e-05,-0.00045169607907074054,0.00045169607907074054,8.0
tae,-0.002971267118782498,0.008608087167247327,0.00563682004846483,-0.011579354286029825,0.011579354286029825,26.0
tahitahi,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
tahu,0.0024642360908692152,-0.0010198803705562763,0.0014443557203129389,0.0034841164614254913,0.0034841164614254913,10.0
taka-hue,-0.00020150443960608076,0.0002501916394646598,4.8687199858579044e-05,-0.00045169607907074054,0.00045169607907074054,8.0
takahi,-0.002247337379397719,0.025113020935558786,0.022865683556161066,-0.027360358314956507,0.027360358314956507,24.0
takai,-0.00020150443960608076,0.0002501916394646598,4.8687199858579044e-05,-0.00045169607907074054,0.00045169607907074054,8.0
takatakahi,0.0005280707820425522,-0.00043710830051152296,9.096248153102923e-05,0.0009651790825540752,0.0009651790825540752,12.0
takawaenga,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
taki,-0.0012244209095018997,0.004560790948456788,0.0033363700389548888,-0.005785211857958688,0.005785211857958688,10.0
takoha,-0.0008468928758816351,0.0021030357195303494,0.0012561428436487143,-0.0029499285954119846,0.0029499285954119846,8.0
takutaku,-0.0008468928758816351,0.0021030357195303494,0.0012561428436487143,-0.0029499285954119846,0.0029499285954119846,8.0
tangi,0.05999012641275721,-0.005517396340595268,0.05447273007216194,0.06550752275335248,0.06550752275335248,60.0
tango,0.002236871637420339,-0.0015870521146751071,0.0006498195227452317,0.0038239237520954457,0.0038239237520954457,24.0
tao,-0.0008468928758816351,0.0021030357195303494,0.0012561428436487143,-0.0029499285954119846,0.0029499285954119846,8.0
taonga,-0.00020150443960608076,0.0002501916394646598,4.8687199858579044e-05,-0.00045169607907074054,0.00045169607907074054,8.0
tapa,-0.0012244209095018997,0.004560790948456788,0.0033363700389548888,-0.005785211857958688,0.005785211857958688,10.0
tapahi,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
tarai,0.0024642360908692152,-0.0010198803705562763,0.0014443557203129389,0.0034841164614254913,0.0034841164614254913,10.0
tari,-0.0008468928758816351,0.0021030357195303494,0.0012561428436487143,-0.0029499285954119846,0.0029499285954119846,8.0
tau,-0.0008468928758816351,0.0021030357195303494,0.0012561428436487143,-0.0029499285954119846,0.0029499285954119846,8.0
tauira,-0.00020150443960608076,0.0002501916394646598,4.8687199858579044e-05,-0.00045169607907074054,0.00045169607907074054,8.0
taunga,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
tautohe,-0.0008468928758816351,0.0021030357195303494,0.0012561428436487143,-0.0029499285954119846,0.0029499285954119846,8.0
tautohetohe,-0.0008468928758816351,0.0021030357195303494,0.0012561428436487143,-0.0029499285954119846,0.0029499285954119846,8.0
tautoko,-0.00040582459792151443,0.0004318965663098661,2.6071968388351673e-05,-0.0008377211642313805,0.0008377211642313805,44.0
teka,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
tere,-0.0008468928758816351,0.0021030357195303494,0.0012561428436487143,-0.0029499285954119846,0.0029499285954119846,8.0
tia,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
tiaki,0.004438839966694736,-0.002755672904179276,0.0016831670625154604,0.007194512870874012,0.007194512870874012,38.0
tiki,0.003258263332109983,-0.0016182080086409815,0.0016400553234690017,0.004876471340750964,0.004876471340750964,20.0
tikitiki,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
tinihanga,-0.0011580649464526908,0.0021568122875552428,0.000998747341102552,-0.0033148772340079336,0.0033148772340079336,12.0
tino,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,10.0
tiro,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
tirotiro,0.0049284721817384304,-0.0020397607411125527,0.0028887114406258778,0.006968232922850983,0.006968232922850983,18.0
titiro,0.014104060211080077,-0.005472456888258671,0.008631603322821407,0.019576517099338747,0.019576517099338747,54.0
tito,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
toa,-0.00020150443960608076,0.0002501916394646598,4.8687199858579044e-05,-0.00045169607907074054,0.00045169607907074054,8.0
toha,0.0024642360908692152,-0.0010198803705562763,0.0014443557203129389,0.0034841164614254913,0.0034841164614254913,10.0
tohatoha,-0.0004030088792121615,0.0005003832789293196,9.737439971715809e-05,-0.0009033921581414811,0.0009033921581414811,12.0
tohe,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
tohetohe,0.000887767993338947,-0.000551134580835855,0.00033663341250309204,0.001438902574174802,0.001438902574174802,8.0
tohi,-0.0012244209095018997,0.004560790948456788,0.0033363700389548888,-0.005785211857958688,0.005785211857958688,12.0
tohu,0.004111894456007365,-0.0021880303777466114,0.0019238640782607537,0.006299924833753977,0.006299924833753977,26.0
tohutohu,0.0049284721817384304,-0.0020397607411125527,0.0028887114406258778,0.006968232922850983,0.006968232922850983,24.0
tono,0.006516526664219966,-0.003236416017281963,0.0032801106469380033,0.009752942681501928,0.009752942681501928,40.0
