Argument,APV,AVP,Key,Diff,DiffAbs,Count
ahau,8.579297251068508e-05,-8.43961717585831e-05,1.3968007521019803e-06,0.0001701891442692682,0.0001701891442692682,14.0
ahu,-0.0006777875482597911,0.0010001286701828277,0.00032234112192303663,-0.0016779162184426188,0.0016779162184426188,6.0
ako,0.003474718844664706,-0.0012818050236745122,0.0021929138209901937,0.004756523868339219,0.004756523868339219,6.0
aotearoa,0.0117797316305137,-0.0021727397030574754,0.009606991927456225,0.013952471333571175,0.013952471333571175,10.0
ara,-0.0006777875482597911,0.0010001286701828277,0.00032234112192303663,-0.0016779162184426188,0.0016779162184426188,6.0
ata,-0.0013841727540231438,0.003063683139367421,0.0016795103853442773,-0.004447855893390565,0.004447855893390565,8.0
atu,0.0010595718740725618,-0.0007817406885830983,0.0002778311854894635,0.00184131256265566,0.00184131256265566,8.0
au,0.033581494102101275,-0.007623404237534557,0.025958089864566717,0.04120489833963583,0.04120489833963583,34.0
awa,0.003474718844664706,-0.0012818050236745122,0.0021929138209901937,0.004756523868339219,0.004756523868339219,6.0
awau,0.003474718844664706,-0.0012818050236745122,0.0021929138209901937,0.004756523868339219,0.004756523868339219,6.0
awhi,0.003474718844664706,-0.0012818050236745122,0.0021929138209901937,0.004756523868339219,0.004756523868339219,6.0
charlie,0.003474718844664706,-0.0012818050236745122,0.0021929138209901937,0.004756523868339219,0.004756523868339219,6.0
haki,-0.0013841727540231438,0.003063683139367421,0.0016795103853442773,-0.004447855893390565,0.004447855893390565,8.0
hanga,0.003474718844664706,-0.0012818050236745122,0.0021929138209901937,0.004756523868339219,0.004756523868339219,6.0
hara,-0.0006777875482597911,0.0010001286701828277,0.00032234112192303663,-0.0016779162184426188,0.0016779162184426188,6.0
haramai,-0.0006777875482597911,0.0010001286701828277,0.00032234112192303663,-0.0016779162184426188,0.0016779162184426188,6.0
hau,0.007331233884287117,-0.001802968401705572,0.005528265482581545,0.009134202285992689,0.009134202285992689,8.0
henare,0.003474718844664706,-0.0012818050236745122,0.0021929138209901937,0.004756523868339219,0.004756523868339219,6.0
hereni,-0.0006777875482597911,0.0010001286701828277,0.00032234112192303663,-0.0016779162184426188,0.0016779162184426188,6.0
hiahia,-0.0006777875482597911,0.0010001286701828277,0.00032234112192303663,-0.0016779162184426188,0.0016779162184426188,6.0
hine-nui-te-pō,-0.0006777875482597911,0.0010001286701828277,0.00032234112192303663,-0.0016779162184426188,0.0016779162184426188,6.0
hoki,-0.0006777875482597911,0.0010001286701828277,0.00032234112192303663,-0.0016779162184426188,0.0016779162184426188,6.0
hoko,-0.0006777875482597911,0.0010001286701828277,0.00032234112192303663,-0.0016779162184426188,0.0016779162184426188,6.0
hononga,-0.0006777875482597911,0.0010001286701828277,0.00032234112192303663,-0.0016779162184426188,0.0016779162184426188,6.0
huarahi,-0.0037993197246152873,0.033637164862660794,0.029837845138045507,-0.03743648458727608,0.03743648458727608,26.0
hui,-0.0021330787596352957,0.0039344061954712725,0.0018013274358359768,-0.006067484955106568,0.006067484955106568,14.0
hui-tanguru,0.003474718844664706,-0.0012818050236745122,0.0021929138209901937,0.004756523868339219,0.004756523868339219,6.0
hāhi,-0.0003531985374541435,0.00039087910121853156,3.768056376438804e-05,-0.0007440776386726751,0.0007440776386726751,10.0
hāmene,-0.0006777875482597911,0.0010001286701828277,0.00032234112192303663,-0.0016779162184426188,0.0016779162184426188,6.0
ia,0.06667369478372563,-0.00983822642824126,0.05683546835548437,0.0765119212119669,0.0765119212119669,48.0
ingarangi,0.003474718844664706,-0.0012818050236745122,0.0021929138209901937,0.004756523868339219,0.004756523868339219,6.0
ingoa,-0.0025917462393192157,0.01147297435503262,0.008881228115713404,-0.014064720594351836,0.014064720594351836,14.0
inu,-0.0006777875482597911,0.0010001286701828277,0.00032234112192303663,-0.0016779162184426188,0.0016779162184426188,6.0
ināianei,0.0010595718740725618,-0.0007817406885830983,0.0002778311854894635,0.00184131256265566,0.00184131256265566,8.0
iwi,0.007098630240634283,-0.0031423756489388785,0.003956254591695405,0.010241005889573163,0.010241005889573163,16.0
kaha,-0.0006777875482597911,0.0010001286701828277,0.00032234112192303663,-0.0016779162184426188,0.0016779162184426188,6.0
kahu,0.003474718844664706,-0.0012818050236745122,0.0021929138209901937,0.004756523868339219,0.004756523868339219,6.0
kai,-0.0022741128651137203,0.008389079592386087,0.006114966727272367,-0.010663192457499807,0.010663192457499807,12.0
kaikōrero,-0.0006777875482597911,0.0010001286701828277,0.00032234112192303663,-0.0016779162184426188,0.0016779162184426188,6.0
kanohi,-0.0013841727540231438,0.003063683139367421,0.0016795103853442773,-0.004447855893390565,0.004447855893390565,8.0
kapa,-0.0006777875482597911,0.0010001286701828277,0.00032234112192303663,-0.0016779162184426188,0.0016779162184426188,6.0
kara,-0.0013841727540231438,0.003063683139367421,0.0016795103853442773,-0.004447855893390565,0.004447855893390565,8.0
karakia,0.0010595718740725618,-0.0007817406885830983,0.0002778311854894635,0.00184131256265566,0.00184131256265566,8.0
karanga,-0.0006777875482597911,0.0010001286701828277,0.00032234112192303663,-0.0016779162184426188,0.0016779162184426188,6.0
kauhau,-0.0006777875482597911,0.0010001286701828277,0.00032234112192303663,-0.0016779162184426188,0.0016779162184426188,6.0
kaupapa,-0.010402639612593403,0.028141502362431337,0.017738862749837936,-0.03854414197502474,0.03854414197502474,56.0
kawa,-0.0013841727540231438,0.003063683139367421,0.0016795103853442773,-0.004447855893390565,0.004447855893390565,8.0
kawenga,0.003474718844664706,-0.0012818050236745122,0.0021929138209901937,0.004756523868339219,0.004756523868339219,6.0
koe,0.05695829620808024,-0.012006633133836965,0.044951663074243274,0.0689649293419172,0.0689649293419172,54.0
koha,-0.0006777875482597911,0.0010001286701828277,0.00032234112192303663,-0.0016779162184426188,0.0016779162184426188,6.0
konei,0.0015893578111088429,-0.0011726110328746477,0.00041674677823419514,0.002761968843983491,0.002761968843983491,12.0
konā,-0.0013841727540231438,0.003063683139367421,0.0016795103853442773,-0.004447855893390565,0.004447855893390565,8.0
koro,0.003474718844664706,-0.0012818050236745122,0.0021929138209901937,0.004756523868339219,0.004756523868339219,6.0
kotahitanga,-0.0013841727540231438,0.003063683139367421,0.0016795103853442773,-0.004447855893390565,0.004447855893390565,8.0
koutou,0.08458604460425276,-0.006569123204281028,0.07801692139997173,0.09115516780853379,0.09115516780853379,42.0
ku,0.0015893578111088429,-0.0011726110328746477,0.00041674677823419514,0.002761968843983491,0.002761968843983491,12.0
kuia,-0.0006777875482597911,0.0010001286701828277,0.00032234112192303663,-0.0016779162184426188,0.0016779162184426188,6.0
kupu,0.0117797316305137,-0.0021727397030574754,0.009606991927456225,0.013952471333571175,0.013952471333571175,10.0
