Argument,APV,AVP,Key,Diff,DiffAbs,Count
*,0.6167791369071445,-0.18758563658279895,0.42919350032434556,0.8043647734899434,0.8043647734899434,510.0
a,0.015980958990177287,-0.009894402376657608,0.006086556613519679,0.025875361366834895,0.025875361366834895,44.0
ana,-0.0006476315480443232,0.0008019452564901565,0.00015431370844583325,-0.0014495768045344796,0.0014495768045344796,6.0
aua,0.004358443360957442,-0.0026984733754520742,0.0016599699855053677,0.007056916736409517,0.007056916736409517,12.0
e,0.030007708893069984,-0.01114732900718172,0.018860379885888262,0.041155037900251705,0.041155037900251705,32.0
he,-0.008534569988784881,0.14266982851796114,0.13413525852917627,-0.15120439850674602,0.15120439850674602,56.0
hei,-0.004443882967727257,0.019259605357317005,0.014815722389589748,-0.023703488325044264,0.023703488325044264,16.0
i,-0.03089279408397724,0.16895402393019449,0.13806122984621724,-0.19984681801417173,0.19984681801417173,118.0
ka,0.0286916556067896,-0.005921354815660143,0.022770300791129457,0.03461301042244974,0.03461301042244974,16.0
kei,0.022614825828184356,-0.003500418631942231,0.019114407196242127,0.026115244460126585,0.026115244460126585,10.0
ki,-0.014441043098328181,0.1564672118064639,0.1420261687081357,-0.17090825490479208,0.17090825490479208,74.0
kia,-0.005496155099482254,0.013611491053126784,0.00811533595364453,-0.01910764615260904,0.01910764615260904,20.0
ko,-0.004443882967727257,0.019259605357317005,0.014815722389589748,-0.023703488325044264,0.023703488325044264,16.0
kua,0.007106520910698569,-0.0021999548785464613,0.0049065660321521085,0.00930647578924503,0.00930647578924503,6.0
me,-0.0002854259460061109,0.00029452958781118387,9.103641805072952e-06,-0.0005799555338172948,0.0005799555338172948,16.0
mā,0.0017431517932139785,-0.0014389996041541285,0.00030415218905985005,0.003182151397368107,0.003182151397368107,14.0
mō,-0.0018763136938266395,0.0034850854725860664,0.001608771778759427,-0.005361399166412706,0.005361399166412706,8.0
ngā,-0.05200413582469527,0.21733435750376873,0.16533022167907346,-0.269338493328464,0.269338493328464,186.0
nā,0.015003854446534992,-0.00557366450359086,0.009430189942944131,0.020577518950125852,0.020577518950125852,16.0
o,0.23019572046650777,-0.015270287004947914,0.21492543346155984,0.2454660074714557,0.2454660074714557,62.0
tana,-0.005524716131177961,0.03420555953637387,0.028680843405195913,-0.039730275667551836,0.039730275667551836,22.0
taua,-0.004686873932060906,0.010156359083546616,0.00546948515148571,-0.014843233015607523,0.014843233015607523,18.0
te,-0.08379561841000434,0.17027598603158625,0.08648036762158191,-0.2540716044415906,0.2540716044415906,334.0
tā,-0.005524716131177961,0.03420555953637387,0.028680843405195913,-0.039730275667551836,0.039730275667551836,22.0
tō,-0.0068485402589623144,0.021200922002416172,0.014352381743453858,-0.028049462261378486,0.028049462261378486,24.0
wā,-0.0006476315480443232,0.0008019452564901565,0.00015431370844583325,-0.0014495768045344796,0.0014495768045344796,6.0
wō,-0.0006476315480443232,0.0008019452564901565,0.00015431370844583325,-0.0014495768045344796,0.0014495768045344796,6.0
ā,-0.0052952965111374125,0.008196284468458473,0.002900987957321061,-0.013491580979595887,0.013491580979595887,28.0
ō,0.003486303586427957,-0.002877999208308257,0.0006083043781197001,0.006364302794736214,0.006364302794736214,28.0
