Predecessor,AV,APV,Key,Diff,DiffAbs,Count
ahakoa,-0.0012687743221936115,0.0017985203020785727,0.0005297459798849612,-0.0030672946242721842,0.0030672946242721842,10.0
and,0.002503521759685107,-0.0017744033090551657,0.0007291184506299411,0.004277925068740272,0.004277925068740272,8.0
arawa,0.002503521759685107,-0.0017744033090551657,0.0007291184506299411,0.004277925068740272,0.004277925068740272,8.0
aroha,0.002503521759685107,-0.0017744033090551657,0.0007291184506299411,0.004277925068740272,0.004277925068740272,8.0
arā,-0.0012687743221936115,0.0017985203020785727,0.0005297459798849612,-0.0030672946242721842,0.0030672946242721842,8.0
brian,0.002503521759685107,-0.0017744033090551657,0.0007291184506299411,0.004277925068740272,0.004277925068740272,8.0
ehara,0.016357076728688,-0.007728859279019244,0.008628217449668758,0.024085936007707243,0.024085936007707243,20.0
engari,-0.006944672847872989,0.013125670331031423,0.006180997483158435,-0.020070343178904413,0.020070343178904413,18.0
hea,0.002503521759685107,-0.0017744033090551657,0.0007291184506299411,0.004277925068740272,0.004277925068740272,8.0
hoa,-0.003789309524229776,0.010742887826424623,0.006953578302194847,-0.014532197350654398,0.014532197350654398,8.0
hoki,-0.003789309524229776,0.010742887826424623,0.006953578302194847,-0.014532197350654398,0.014532197350654398,8.0
hunga,0.03017836865502974,-0.010694653840377807,0.019483714814651932,0.04087302249540754,0.04087302249540754,24.0
hōnore,0.008178538364344,-0.003864429639509622,0.004314108724834379,0.012042968003853622,0.012042968003853622,10.0
ia,-0.003789309524229776,0.010742887826424623,0.006953578302194847,-0.014532197350654398,0.014532197350654398,12.0
ika,0.002503521759685107,-0.0017744033090551657,0.0007291184506299411,0.004277925068740272,0.004277925068740272,8.0
inā,-0.003789309524229776,0.010742887826424623,0.006953578302194847,-0.014532197350654398,0.014532197350654398,8.0
ināianei,0.008178538364344,-0.003864429639509622,0.004314108724834379,0.012042968003853622,0.012042968003853622,10.0
iwi,-0.005263728099168556,0.022384410731000302,0.017120682631831745,-0.02764813883016886,0.02764813883016886,10.0
kaha,0.002503521759685107,-0.0017744033090551657,0.0007291184506299411,0.004277925068740272,0.004277925068740272,8.0
kai,0.002503521759685107,-0.0017744033090551657,0.0007291184506299411,0.004277925068740272,0.004277925068740272,8.0
kaikutikuti,-0.003789309524229776,0.010742887826424623,0.006953578302194847,-0.014532197350654398,0.014532197350654398,8.0
kaiārahi,-0.0012687743221936115,0.0017985203020785727,0.0005297459798849612,-0.0030672946242721842,0.0030672946242721842,8.0
kake,-0.0012687743221936115,0.0017985203020785727,0.0005297459798849612,-0.0030672946242721842,0.0030672946242721842,8.0
kamupene,0.002503521759685107,-0.0017744033090551657,0.0007291184506299411,0.004277925068740272,0.004277925068740272,8.0
karaitiana,-0.0012687743221936115,0.0017985203020785727,0.0005297459798849612,-0.0030672946242721842,0.0030672946242721842,8.0
