Predecessor,AV,AVP,Key,Diff,DiffAbs,Count
ahakoa,-0.004660586846474332,0.01679032379188351,0.012129736945409177,-0.021450910638357842,0.021450910638357842,10.0
and,0.003709804265073554,-0.0022275025609066103,0.0014823017041669436,0.005937306825980164,0.005937306825980164,8.0
arawa,0.003709804265073554,-0.0022275025609066103,0.0014823017041669436,0.005937306825980164,0.005937306825980164,8.0
aroha,0.003709804265073554,-0.0022275025609066103,0.0014823017041669436,0.005937306825980164,0.005937306825980164,8.0
arā,-0.0031861682715355524,0.007652369211111589,0.004466200939576037,-0.010838537482647142,0.010838537482647142,8.0
brian,0.003709804265073554,-0.0022275025609066103,0.0014823017041669436,0.005937306825980164,0.005937306825980164,8.0
ehara,0.019975924244853345,-0.007996185105290638,0.011979739139562707,0.027972109350143985,0.027972109350143985,20.0
engari,0.0024263565163181768,-0.0019424979388282344,0.00048385857748994236,0.004368854455146411,0.004368854455146411,18.0
hea,0.003709804265073554,-0.0022275025609066103,0.0014823017041669436,0.005937306825980164,0.005937306825980164,8.0
hoa,-0.0006656330694993877,0.000799341022324592,0.00013370795282520432,-0.0014649740918239798,0.0014649740918239798,8.0
hoki,-0.0006656330694993877,0.000799341022324592,0.00013370795282520432,-0.0014649740918239798,0.0014649740918239798,8.0
hunga,0.03500349867658353,-0.010508692288275622,0.02449480638830791,0.04551219096485916,0.04551219096485916,24.0
hōnore,0.009987962122426673,-0.003998092552645319,0.005989869569781353,0.013986054675071993,0.013986054675071993,10.0
ia,-0.004660586846474332,0.01679032379188351,0.012129736945409177,-0.021450910638357842,0.021450910638357842,12.0
ika,0.003709804265073554,-0.0022275025609066103,0.0014823017041669436,0.005937306825980164,0.005937306825980164,8.0
inā,-0.0006656330694993877,0.000799341022324592,0.00013370795282520432,-0.0014649740918239798,0.0014649740918239798,8.0
ināianei,0.009987962122426673,-0.003998092552645319,0.005989869569781353,0.013986054675071993,0.013986054675071993,10.0
iwi,-0.0006656330694993877,0.000799341022324592,0.00013370795282520432,-0.0014649740918239798,0.0014649740918239798,10.0
kaha,0.003709804265073554,-0.0022275025609066103,0.0014823017041669436,0.005937306825980164,0.005937306825980164,8.0
kai,0.003709804265073554,-0.0022275025609066103,0.0014823017041669436,0.005937306825980164,0.005937306825980164,8.0
kaikutikuti,-0.0006656330694993877,0.000799341022324592,0.00013370795282520432,-0.0014649740918239798,0.0014649740918239798,8.0
kaiārahi,-0.0031861682715355524,0.007652369211111589,0.004466200939576037,-0.010838537482647142,0.010838537482647142,8.0
kake,-0.0031861682715355524,0.007652369211111589,0.004466200939576037,-0.010838537482647142,0.010838537482647142,8.0
kamupene,0.003709804265073554,-0.0022275025609066103,0.0014823017041669436,0.005937306825980164,0.005937306825980164,8.0
karaitiana,-0.0031861682715355524,0.007652369211111589,0.004466200939576037,-0.010838537482647142,0.010838537482647142,8.0
katoa,0.003709804265073554,-0.0022275025609066103,0.0014823017041669436,0.005937306825980164,0.005937306825980164,8.0
kaupapa,0.013331666141124063,-0.006403857098356535,0.006927809042767527,0.0197355232394806,0.0197355232394806,18.0
kite,-0.004660586846474332,0.01679032379188351,0.012129736945409177,-0.021450910638357842,0.021450910638357842,12.0
koe,-0.0031861682715355524,0.007652369211111589,0.004466200939576037,-0.010838537482647142,0.010838537482647142,8.0
koia,0.003709804265073554,-0.0022275025609066103,0.0014823017041669436,0.005937306825980164,0.005937306825980164,10.0
komiti,0.009987962122426673,-0.003998092552645319,0.005989869569781353,0.013986054675071993,0.013986054675071993,10.0
konei,-0.0013312661389987754,0.001598682044649184,0.00026741590565040863,-0.0029299481836479596,0.0029299481836479596,12.0
korotangi,0.003709804265073554,-0.0022275025609066103,0.0014823017041669436,0.005937306825980164,0.005937306825980164,8.0
koroua,-0.0031861682715355524,0.007652369211111589,0.004466200939576037,-0.010838537482647142,0.010838537482647142,8.0
kuia,-0.0031861682715355524,0.007652369211111589,0.004466200939576037,-0.010838537482647142,0.010838537482647142,10.0
kāmura,-0.0006656330694993877,0.000799341022324592,0.00013370795282520432,-0.0014649740918239798,0.0014649740918239798,8.0
kāre,-0.0031861682715355524,0.007652369211111589,0.004466200939576037,-0.010838537482647142,0.010838537482647142,8.0
kātahi,-0.0031861682715355524,0.007652369211111589,0.004466200939576037,-0.010838537482647142,0.010838537482647142,8.0
kī,-0.0019968992084981618,0.002398023066973775,0.00040112385847561327,-0.004394922275471937,0.004394922275471937,14.0
kōhanga,0.003709804265073554,-0.0022275025609066103,0.0014823017041669436,0.005937306825980164,0.005937306825980164,8.0
kōrero,0.007419608530147108,-0.004455005121813221,0.0029646034083338872,0.011874613651960329,0.011874613651960329,14.0
mahi,-0.0031861682715355524,0.007652369211111589,0.004466200939576037,-0.010838537482647142,0.010838537482647142,8.0
mahue,0.003709804265073554,-0.0022275025609066103,0.0014823017041669436,0.005937306825980164,0.005937306825980164,8.0
mana,-0.0013312661389987754,0.001598682044649184,0.00026741590565040863,-0.0029299481836479596,0.0029299481836479596,10.0
mea,-0.0053250645559951015,0.006394728178596736,0.0010696636226016345,-0.011719792734591838,0.011719792734591838,34.0
mehemea,-0.0013312661389987754,0.001598682044649184,0.00026741590565040863,-0.0029299481836479596,0.0029299481836479596,10.0
minita,-0.0031861682715355524,0.007652369211111589,0.004466200939576037,-0.010838537482647142,0.010838537482647142,8.0
moe-rewa,-0.0031861682715355524,0.007652369211111589,0.004466200939576037,-0.010838537482647142,0.010838537482647142,8.0
motu,-0.0006656330694993877,0.000799341022324592,0.00013370795282520432,-0.0014649740918239798,0.0014649740918239798,8.0
mutunga,0.003709804265073554,-0.0022275025609066103,0.0014823017041669436,0.005937306825980164,0.005937306825980164,8.0
māori,0.003709804265073554,-0.0022275025609066103,0.0014823017041669436,0.005937306825980164,0.005937306825980164,8.0
mōhio,0.0024263565163181768,-0.0019424979388282344,0.00048385857748994236,0.004368854455146411,0.004368854455146411,14.0
mōnehu,0.003709804265073554,-0.0022275025609066103,0.0014823017041669436,0.005937306825980164,0.005937306825980164,8.0
na,-0.0031861682715355524,0.007652369211111589,0.004466200939576037,-0.010838537482647142,0.010838537482647142,8.0
nanakia,-0.0013312661389987754,0.001598682044649184,0.00026741590565040863,-0.0029299481836479596,0.0029299481836479596,10.0
noho,-0.0026625322779975508,0.003197364089298368,0.0005348318113008173,-0.005859896367295919,0.005859896367295919,18.0
ono,-0.0006656330694993877,0.000799341022324592,0.00013370795282520432,-0.0014649740918239798,0.0014649740918239798,8.0
pai,-0.0019968992084981618,0.002398023066973775,0.00040112385847561327,-0.004394922275471937,0.004394922275471937,14.0
pea,-0.0031861682715355524,0.007652369211111589,0.004466200939576037,-0.010838537482647142,0.010838537482647142,10.0
pukapuka,0.003709804265073554,-0.0022275025609066103,0.0014823017041669436,0.005937306825980164,0.005937306825980164,8.0
pākeke,-0.0006656330694993877,0.000799341022324592,0.00013370795282520432,-0.0014649740918239798,0.0014649740918239798,8.0
pānui,-0.0031861682715355524,0.007652369211111589,0.004466200939576037,-0.010838537482647142,0.010838537482647142,8.0
pēnei,0.003709804265073554,-0.0022275025609066103,0.0014823017041669436,0.005937306825980164,0.005937306825980164,8.0
pērā,0.003709804265073554,-0.0022275025609066103,0.0014823017041669436,0.005937306825980164,0.005937306825980164,8.0
pōti,0.003709804265073554,-0.0022275025609066103,0.0014823017041669436,0.005937306825980164,0.005937306825980164,8.0
pūtea,-0.0006656330694993877,0.000799341022324592,0.00013370795282520432,-0.0014649740918239798,0.0014649740918239798,8.0
reira,0.017501749338291767,-0.005254346144137811,0.012247403194153956,0.02275609548242958,0.02275609548242958,12.0
reo,-0.0013312661389987754,0.001598682044649184,0.00026741590565040863,-0.0029299481836479596,0.0029299481836479596,10.0
riro,-0.022878429391448837,0.034800522145653615,0.011922092754204777,-0.05767895153710245,0.05767895153710245,94.0
rua,-0.0006656330694993877,0.000799341022324592,0.00013370795282520432,-0.0014649740918239798,0.0014649740918239798,12.0
rākau,-0.0031861682715355524,0.007652369211111589,0.004466200939576037,-0.010838537482647142,0.010838537482647142,8.0
rātou,-0.004660586846474332,0.01679032379188351,0.012129736945409177,-0.021450910638357842,0.021450910638357842,10.0
rīpoata,0.003709804265073554,-0.0022275025609066103,0.0014823017041669436,0.005937306825980164,0.005937306825980164,8.0
rōia,0.003709804265073554,-0.0022275025609066103,0.0014823017041669436,0.005937306825980164,0.005937306825980164,8.0
rōpū,-0.0031861682715355524,0.007652369211111589,0.004466200939576037,-0.010838537482647142,0.010838537482647142,8.0
take,0.003709804265073554,-0.0022275025609066103,0.0014823017041669436,0.005937306825980164,0.005937306825980164,10.0
tamariki,-0.0031861682715355524,0.007652369211111589,0.004466200939576037,-0.010838537482647142,0.010838537482647142,8.0
tamāhine,0.003709804265073554,-0.0022275025609066103,0.0014823017041669436,0.005937306825980164,0.005937306825980164,8.0
tangata,0.001457980261886477,-0.0014006797275765278,5.730053430994908e-05,0.002858659989463005,0.002858659989463005,42.0
taonga,-0.0006656330694993877,0.000799341022324592,0.00013370795282520432,-0.0014649740918239798,0.0014649740918239798,8.0
taputapu,0.003709804265073554,-0.0022275025609066103,0.0014823017041669436,0.005937306825980164,0.005937306825980164,8.0
tau,0.025934342151304884,-0.00622877213240947,0.019705570018895415,0.03216311428371436,0.03216311428371436,16.0
tauira,0.003709804265073554,-0.0022275025609066103,0.0014823017041669436,0.005937306825980164,0.005937306825980164,8.0
tekau,-0.0006656330694993877,0.000799341022324592,0.00013370795282520432,-0.0014649740918239798,0.0014649740918239798,16.0
tika,0.0015219342303919902,-0.001370737707503703,0.00015119652288828707,0.0028926719378956933,0.0028926719378956933,18.0
tikanga,-0.0031861682715355524,0.007652369211111589,0.004466200939576037,-0.010838537482647142,0.010838537482647142,10.0
tino,-0.0006656330694993877,0.000799341022324592,0.00013370795282520432,-0.0014649740918239798,0.0014649740918239798,8.0
titiro,0.003709804265073554,-0.0022275025609066103,0.0014823017041669436,0.005937306825980164,0.005937306825980164,8.0
tohunga,-0.0031861682715355524,0.007652369211111589,0.004466200939576037,-0.010838537482647142,0.010838537482647142,8.0
tokotoru,0.003709804265073554,-0.0022275025609066103,0.0014823017041669436,0.005937306825980164,0.005937306825980164,8.0
tono,0.009987962122426673,-0.003998092552645319,0.005989869569781353,0.013986054675071993,0.013986054675071993,10.0
toru,-0.0006656330694993877,0.000799341022324592,0.00013370795282520432,-0.0014649740918239798,0.0014649740918239798,8.0
tou,-0.0031861682715355524,0.007652369211111589,0.004466200939576037,-0.010838537482647142,0.010838537482647142,8.0
tuahine,0.003709804265073554,-0.0022275025609066103,0.0014823017041669436,0.005937306825980164,0.005937306825980164,8.0
tuku,0.0015219342303919902,-0.001370737707503703,0.00015119652288828707,0.0028926719378956933,0.0028926719378956933,18.0
ture,0.009987962122426673,-0.003998092552645319,0.005989869569781353,0.013986054675071993,0.013986054675071993,10.0
tāne,0.003709804265073554,-0.0022275025609066103,0.0014823017041669436,0.005937306825980164,0.005937306825980164,8.0
tāngata,-0.004280103288876335,0.007709793042189904,0.003429689753313569,-0.011989896331066239,0.011989896331066239,14.0
tāra,-0.0006656330694993877,0.000799341022324592,0.00013370795282520432,-0.0014649740918239798,0.0014649740918239798,8.0
tātou,-0.0013312661389987754,0.001598682044649184,0.00026741590565040863,-0.0029299481836479596,0.0029299481836479596,12.0
tēnei,-0.0031861682715355524,0.007652369211111589,0.004466200939576037,-0.010838537482647142,0.010838537482647142,8.0
tēnā,-0.0031861682715355524,0.007652369211111589,0.004466200939576037,-0.010838537482647142,0.010838537482647142,10.0
tētahi,0.009987962122426673,-0.003998092552645319,0.005989869569781353,0.013986054675071993,0.013986054675071993,10.0
tīmata,0.003709804265073554,-0.0022275025609066103,0.0014823017041669436,0.005937306825980164,0.005937306825980164,8.0
tūpuna,-0.0013312661389987754,0.001598682044649184,0.00026741590565040863,-0.0029299481836479596,0.0029299481836479596,10.0
wahine,-0.005135249089790318,0.00822237845526834,0.003087129365478021,-0.013357627545058658,0.013357627545058658,16.0
waiho,0.02722908043884093,-0.009342479252253592,0.017886601186587338,0.036571559691094525,0.036571559691094525,34.0
waka,-0.0031861682715355524,0.007652369211111589,0.004466200939576037,-0.010838537482647142,0.010838537482647142,8.0
whai,0.003709804265073554,-0.0022275025609066103,0.0014823017041669436,0.005937306825980164,0.005937306825980164,8.0
whakaae,0.013331666141124063,-0.006403857098356535,0.006927809042767527,0.0197355232394806,0.0197355232394806,16.0
whakaatanga,-0.0031861682715355524,0.007652369211111589,0.004466200939576037,-0.010838537482647142,0.010838537482647142,8.0
whakahoki,0.003709804265073554,-0.0022275025609066103,0.0014823017041669436,0.005937306825980164,0.005937306825980164,10.0
whakairo,-0.0006656330694993877,0.000799341022324592,0.00013370795282520432,-0.0014649740918239798,0.0014649740918239798,8.0
whakapae,-0.007995198734447175,0.02400305296913726,0.016007854234690085,-0.03199825170358443,0.03199825170358443,16.0
whakarite,0.003709804265073554,-0.0022275025609066103,0.0014823017041669436,0.005937306825980164,0.005937306825980164,8.0
whakataetae,-0.0031861682715355524,0.007652369211111589,0.004466200939576037,-0.010838537482647142,0.010838537482647142,8.0
whare,0.003709804265073554,-0.0022275025609066103,0.0014823017041669436,0.005937306825980164,0.005937306825980164,8.0
whenua,0.003709804265073554,-0.0022275025609066103,0.0014823017041669436,0.005937306825980164,0.005937306825980164,8.0
wherawhera,-0.0031861682715355524,0.007652369211111589,0.004466200939576037,-0.010838537482647142,0.010838537482647142,8.0
whā,-0.0006656330694993877,0.000799341022324592,0.00013370795282520432,-0.0014649740918239798,0.0014649740918239798,8.0
whāngai,0.003709804265073554,-0.0022275025609066103,0.0014823017041669436,0.005937306825980164,0.005937306825980164,8.0
wiki,-0.0031861682715355524,0.007652369211111589,0.004466200939576037,-0.010838537482647142,0.010838537482647142,8.0
wā,0.009987962122426673,-0.003998092552645319,0.005989869569781353,0.013986054675071993,0.013986054675071993,10.0
wāhanga,0.003709804265073554,-0.0022275025609066103,0.0014823017041669436,0.005937306825980164,0.005937306825980164,8.0
wāriu,0.003709804265073554,-0.0022275025609066103,0.0014823017041669436,0.005937306825980164,0.005937306825980164,8.0
āhei,0.003709804265073554,-0.0022275025609066103,0.0014823017041669436,0.005937306825980164,0.005937306825980164,8.0
