SubHead,True,False,Key,Diff,DiffAbs,Count
aituā,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
ako,0.0019465655583436677,-0.0016626201429789501,0.0002839454153647175,0.003609185701322618,0.003609185701322618,26.0
arataki,-0.0024387534933356463,0.009720725699271085,0.007281972205935438,-0.012159479192606732,0.012159479192606732,10.0
atawhai,0.0021639483518875306,-0.0014375614710254595,0.0007263868808620711,0.00360150982291299,0.00360150982291299,10.0
aukati,-0.0019313777041790666,0.005773767091052008,0.0038423893868729415,-0.007705144795231074,0.007705144795231074,8.0
awhi,0.009804694825527122,-0.002442557981579032,0.007362136843948089,0.012247252807106153,0.012247252807106153,10.0
eke,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
haehae,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
haere,0.0058313937516756,-0.0019369655871119304,0.0038944281645636697,0.00776835933878753,0.00776835933878753,8.0
haina,-0.0019313777041790666,0.005773767091052008,0.0038423893868729415,-0.007705144795231074,0.007705144795231074,8.0
hanga,-0.006376874848378167,0.011649844296817407,0.00527296944843924,-0.018026719145195574,0.018026719145195574,34.0
haramai,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
hari,1.8630319569199854e-05,-1.8564835141891596e-05,6.548442730825815e-08,3.719515471109145e-05,3.719515471109145e-05,12.0
harry,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
hautū,1.8630319569199854e-05,-1.8564835141891596e-05,6.548442730825815e-08,3.719515471109145e-05,3.719515471109145e-05,12.0
heke,1.2420213046133526e-05,-1.2376556761261352e-05,4.3656284872174925e-08,2.4796769807394876e-05,2.4796769807394876e-05,8.0
hiahia,0.0058313937516756,-0.0019369655871119304,0.0038944281645636697,0.00776835933878753,0.00776835933878753,8.0
hiki,-0.0019313777041790666,0.005773767091052008,0.0038423893868729415,-0.007705144795231074,0.007705144795231074,8.0
hoatu,0.0058313937516756,-0.0019369655871119304,0.0038944281645636697,0.00776835933878753,0.00776835933878753,8.0
hoki,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
hoko,1.2420213046133526e-05,-1.2376556761261352e-05,4.3656284872174925e-08,2.4796769807394876e-05,2.4796769807394876e-05,8.0
homai,0.002054343582718587,-0.0015353420185431968,0.0005190015641753903,0.003589685601261784,0.003589685601261784,14.0
hono,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
hopu,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
horoi,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
hua,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
hura,0.0058313937516756,-0.0019369655871119304,0.0038944281645636697,0.00776835933878753,0.00776835933878753,8.0
huti,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
hāmene,1.2420213046133526e-05,-1.2376556761261352e-05,4.3656284872174925e-08,2.4796769807394876e-05,2.4796769807394876e-05,8.0
