SubHead_y,False,True,Key,Diff,DiffAbs,Count
aituā,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
ako,0.007808478010287586,-0.0043203111910934235,0.003488166819194162,0.01212878920138101,0.01212878920138101,14.0
arataki,0.003891705349504899,-0.0026915261450043003,0.0012001792045005987,0.006583231494509199,0.006583231494509199,12.0
atawhai,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
aukati,0.006128265355992773,-0.002825562737130488,0.0033027026188622854,0.008953828093123261,0.008953828093123261,8.0
haina,0.006128265355992773,-0.002825562737130488,0.0033027026188622854,0.008953828093123261,0.008953828093123261,8.0
hanga,-0.011264013620283371,0.04674154557029997,0.0354775319500166,-0.05800555919058334,0.05800555919058334,24.0
hari,-0.0017119160880968661,0.0023679423262361757,0.0006560262381393096,-0.004079858414333042,0.004079858414333042,8.0
harry,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
hautū,0.006128265355992773,-0.002825562737130488,0.0033027026188622854,0.008953828093123261,0.008953828093123261,8.0
heke,-0.002684842425473091,0.007427410797476653,0.0047425683720035625,-0.010112253222949744,0.010112253222949744,6.0
hiki,0.01120724287520353,-0.0038754973081223886,0.007331745567081141,0.01508274018332592,0.01508274018332592,10.0
hoko,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
homai,-0.0017119160880968661,0.0023679423262361757,0.0006560262381393096,-0.004079858414333042,0.004079858414333042,8.0
horoi,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
huti,-0.002684842425473091,0.007427410797476653,0.0047425683720035625,-0.010112253222949744,0.010112253222949744,6.0
hāmene,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
hē,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
hūpoki,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
inoi,-0.002684842425473091,0.007427410797476653,0.0047425683720035625,-0.010112253222949744,0.010112253222949744,6.0
kai,0.01120724287520353,-0.0038754973081223886,0.007331745567081141,0.01508274018332592,0.01508274018332592,10.0
kaiarataki,-0.002684842425473091,0.007427410797476653,0.0047425683720035625,-0.010112253222949744,0.010112253222949744,6.0
kaiwhakahaere,0.006128265355992773,-0.002825562737130488,0.0033027026188622854,0.008953828093123261,0.008953828093123261,8.0
kaiārahi,0.0019458526747524495,-0.0013457630725021502,0.0006000896022502994,0.0032916157472545997,0.0032916157472545997,6.0
