None,256,hoki,kāinga
None,257,hīkoi,wāhi
None,258,inoi,koe
None,259,inoi,koutou
None,260,hoki,kāinga
None,261,kōrero,ia
None,262,hoki,wā
None,263,huri,mea
None,264,noho,tēnei
None,265,riro,wairua
None,266,tika,rātou
None,267,panaia,taha
None,268,taea,hoki
None,269,tae,ēnei
None,270,puta,kī
None,271,huri,whai
None,272,waiata,tuakana
None,273,ngākau,kaupapa
None,274,ū,ūkaipō
None,275,tae,wāhanga
None,276,tae,ēnei
None,277,āhua,ētahi
None,278,haere,mātou
None,279,tae,pukapuka
None,280,piki,mea
None,281,ahu,Tāne-nui-ā-Rangi
None,282,pātai,rātou
None,283,rīngi,[Derek]
None,284,whiua,au
None,285,mihi,koutou
None,286,puta,whakatupuranga
None,287,heke,tuāhine
None,288,heke,Tāhinga
None,289,heke,Turu-mākina
None,290,whakahoki,wā
None,291,puta,rāua
None,292,kī,au
None,293,haere,taha
None,294,hoki,wā
None,295,haere,kōti
None,296,pā,koutou
None,297,tuku,kōpū
None,298,haere,ruku
None,299,kīia,koe
None,300,mauria,*
None,301,hoki,tātou
None,302,anga,rā
None,303,anga,wahine
None,304,tae,toru
None,305,hoki,kāinga
None,306,hoki,kāinga
None,307,mihi,matawaka
None,308,haere,Horo
None,309,mahara,tikanga
None,310,aroha,koe
None,311,whakarongo,koe
None,312,pai,tātou
None,313,tae,wiki
None,314,haere,Kūiti
None,315,noho,kāinga
None,316,tae,whare
None,317,tūtaki,hoa
None,318,puta,koutou
None,319,haere,ruku
None,320,noho,whare
None,321,haere,kura
None,322,haere,kura
None,323,rekareka,whakamau
None,324,haere,Aute
None,325,hoki,kāinga
None,326,noho,māua
None,327,hoki,kāinga
None,328,haere,huihui
None,329,kī,tōku
None,330,kī,au
None,331,tae,tētahi
None,332,pai,au
None,333,haria,kura
None,334,tahuna,ahi
None,335,taea,tōna
None,336,hokihoki,kāinga
None,337,tae,wā
None,338,haere,Kaha
None,339,moe,Pākehā
None,340,tae,kōrero
None,341,kī,au
None,342,kī,au
None,343,kōrero,hoa
None,344,whāngaia,poaka
None,345,tukua,ao
None,346,haere,au
None,347,kī,au
None,348,haria,wai
None,349,hoki,whare
None,350,haria,wāhi
None,351,haria,wāhi
None,352,haria,wāhi
None,353,haria,wai
None,354,hoki,kāinga
None,355,titiro,moana
None,356,tae,takutai
None,357,tohutohu,rātou
None,358,hī,mātou
None,359,tae,tēnei
None,360,tae,mahi
None,361,tae,manaaki
None,362,haere,hī
None,363,mea,koe
None,364,titiro,ao
None,365,pā,tū
None,366,hoki,wā
None,367,pērā,taka
None,368,tae,wā
