None,188,hangangia,rātou,rātou
None,189,hangangia,au,whare
None,190,mahia,rātou,rātou
None,191,taea,koe,whakamārama
None,192,kitea,ia,maunga
None,193,kitea,koutou,maunga
None,194,whakahautia,ia,tangata
None,195,wāhia,ia,ārai
None,196,tuhihia,ia,pukapuka
None,197,whakanohoia,ia,tamariki
None,198,hangangia,mātou,*
None,199,hangangia,mātou,*
None,200,homaihia,rātou,ētahi
None,201,taea,mātou,kī
None,202,whakahokia,tangata,*
None,203,kitea,kaihautū,kōrero
None,204,taea,koe,whakatikatika
None,205,poipoia,tōna,*
None,206,whakaputangia,mātou,mātou
None,207,taea,rātou,kōrerorero
None,208,whakatūria,rātou,tētahi
None,209,mauria,rātou,ēnei
None,210,hangaia,rātou,ētahi
None,211,mahia,rātou,*
None,212,tīmatahia,au,whakapapa
None,213,taea,rātou,waea
None,214,waihangatia,mātou,ētahi
None,215,taea,koe,haere
None,216,haria,rātou,ērā
None,217,taea,rātou,āwhina
None,218,tukua,koe,pakeke
None,219,taea,tauira,hāpai
None,220,tukuna,au,ētahi
None,221,moengia,rātou,rātou
None,222,tīmatahia,mātou,kōrero
None,223,hoatuhia,ia,utu
None,224,kitea,ia,*
None,225,kitekitehia,ia,kōrero
None,226,whakahokia,ia,*
None,227,moengia,rātou,*
None,228,moengia,rātou,rātou
None,229,tirohia,tātou,aha
None,230,tāwai,tātou,tātou
None,231,whakahāereeretia,ia,kākahu
None,232,whakapiringia,tātou,tērā
None,233,tirohia,koe,karakia
None,234,rongohia,koutou,āhuatanga
None,235,tuhia,koroua,*
None,236,titirongia,motu,*
None,237,hoatungia,mātou,tēnei
None,238,whakaemingia,māua,māua
None,239,pāngia,mate,tākuta
None,240,kitea,ia,tētahi
None,241,hoatuhia,au,mahi
None,242,taea,rātou,*
None,243,homai,ia,tāna
None,244,taea,koe,rongo
None,245,kitea,koe,*
None,246,mahia,koe,porotiti
None,247,pau,au,tētahi
None,248,katia,ia,pihanga
None,249,whakakikītia,ia,whāruarua
None,250,whakakikītia,ia,whāruarua
None,251,hoatu,kuia,tōna
None,252,mahia,rātou,taura
None,253,hoatu,kuia,ahi
None,254,kāwhakina,ia,ahi
None,255,kāwhakina,ia,ahi
None,256,kōwhakina,kuia,ahi
None,257,kōwhakina,kuia,*
None,258,taea,tātou,*
None,259,utungia,mātou,kaituhi
None,260,taea,tātou,whakamahi
None,261,kōrerotia,ia,mahi
None,262,utua,kaitango,kaitango
None,263,tukuna,Minita,*
None,264,whakapuakitia,ia,honotanga
None,265,kōrerotia,au,mahi
None,266,whakatāngia,tātou,tātou
None,267,hangaia,rātou,Māori
None,268,taea,ia,whakamāmā
None,269,taea,ia,whakarāpopoto
None,270,kitea,ao,tino
None,271,kimihia,ia,tētahi
None,272,iria,ia,*
None,273,taea,ia,mahi
None,274,taea,mātou,mau
None,275,tirohia,tātou,kaipākihi
None,276,tīmatahia,Pūkenga,wāhanga
None,277,utua,rātou,*
None,278,meatia,Pākehā,ē
None,279,mahia,ia,mahi
None,280,whakarerea,ia,toki
None,281,rukea,tātou,huarahi
None,282,whakanuia,tātou,kōrero
None,283,taea,māhita,*
None,284,tohia,rātou,tētahi
None,285,tīmatahia,kāwanatanga,mahi
None,286,mauria,mātou,*
None,287,whāia,au,tika
None,288,taea,kāwana,whakaheahea
None,289,whakaputahia,rātou,tētahi
None,290,whakaarotia,taku,tēnā
None,291,taea,tātou,titiro
None,292,hākaritia,rātou,*
None,293,kuhuna,Pākehā,rātou
None,294,whiua,ture,ērā
None,295,tukuna,mātou,tētahi
None,296,tirohia,tātou,aha
None,297,tirohia,ia,ētahi
None,298,pānuihia,mātou,huihuinga
None,299,pānuihia,mātou,huihuinga
None,300,pānuihia,mātou,huihuinga
None,301,pānuihia,mātou,huihuinga
None,302,taea,au,*
None,303,taea,koutou,piki
None,304,taea,koutou,kōrero
None,305,kitea,hunga,ētahi
None,306,pānuitia,mātou,ētahi
None,307,taea,tātou,hīkoi
None,308,taea,tātou,whakarongo
None,309,pānuihia,mātou,huihuinga
None,310,pānuihia,mātou,huihuinga
None,311,pānuihia,mātou,huihuinga
None,312,pānuihia,mātou,huihuinga
None,313,pānuihia,mātou,huihuinga
None,314,kitea,māua,hōiho
None,315,kitea,māua,hōiho
None,316,kumea,rātou,waka
None,317,tahia,ngaru,waka
None,318,tapatapahia,kaimahi,taura
None,319,taea,au,whakarahi
None,320,taea,au,whakarahi
None,321,tirohia,tātou,taru
None,322,kīia,rātou,tūmatakahukī
None,323,unuhia,ia,rākau
None,324,hangangia,ia,ika
None,325,mahia,koe,*
None,326,taea,koe,tono
