None,199,mau,tātou,iwi
None,200,karakia,mātou,tēnā
None,201,karakia,mātou,awa
None,202,whiti,mātou,piriti
None,203,karanga,au,taku
None,204,manaakingia,mātou,tēnā
None,205,kī,au,au
None,206,tuhi,au,ōku
None,207,whakaae,rātou,Wai-koukou
None,208,puta,kōrero,tērā
None,209,moe,ia,hoa
None,210,awhi,au,ia
None,211,moe,māua,whare
None,212,kitea,takahi,mana
None,213,hanga,kāwana,*
None,214,noho,mātou,pō
None,215,mau,mātou,*
None,216,haere,koe,*
None,217,ako,rātou,kupu
None,218,riro,mātou,*
None,219,moe,au,Rau
None,220,kite,koutou,tēnei
None,221,kite,au,koe
None,222,haere,māua,māua
None,223,rongo,au,reo
None,224,kite,mātou,*
None,225,whakaatu,rātou,whakairo
None,226,kite,au,tērā
None,227,mōhio,kairangahau,kaha
None,228,kite,koe,*
None,229,kite,koe,mīhini
None,230,moe,tōku,tētahi
None,231,titiro,mātou,mātou
None,232,kōrero,koutou,wā
None,233,kite,au,tēnei
None,234,kite,au,tētahi
None,235,tūtakitaki,au,ētahi
None,236,pānui,au,tētahi
None,237,tūtaki,au,tētahi
None,238,rongo,au,wērā
None,239,whakawhiti,rātou,Moana-nui-ā-Kiwa
None,240,tangi,au,whakaahua
None,241,rongo,ao,rātou
None,242,whai,koroua,tāna
None,243,mutu,koe,mīhana
None,244,pāhi,au,taku
None,245,ako,au,[Boys-High-School]
None,246,haramai,tēnei,haerenga
None,247,tū,au,āhua
None,248,puea,wai,whenua
None,249,rere,ia,pūau
None,250,hoki,ētahi,taha
None,251,tū,kaupapa,poukai
None,252,kite,koe,*
None,253,riro,tēnei,*
None,254,whai,rātou,rātou
None,255,whakapono,au,tērā
None,256,kōrero,ia,*
None,257,kite,koe,tērā
None,258,kite,rātou,tērā
None,259,kite,au,tātou
None,260,uru,mātou,*
None,261,haere,mātou,whitu
None,262,rongo,au,koe
None,263,kite,koroua,pai
None,264,tukuna,ētahi,putanga
None,265,noho,au,*
None,266,nui,tamariki,tērā
None,267,whakamutu,au,tāku
None,268,tukuna,ētahi,putanga
None,269,noho,au,kāinga
None,270,tau,tātou,tēnei
None,271,rongo,au,kaumātua
None,272,noho,au,toi-ā-runga
None,273,noho,au,tēnei
None,274,puta,au,Māori
None,275,wiriwiri,tāngata,mataku
None,276,tū,au,taha
None,277,wehi,koe,tēnei
None,278,mītingi,komiti,Tāite
None,279,toa,mātou,*
None,280,mahi,au,tēnei
None,281,kite,au,rīketa
None,282,kite,au,tāngata
None,283,tīmata,ako,tātou
None,284,mate,tērā,pakanga
None,285,mate,Hika-toa,whawhai
None,286,kite,au,koroua
None,287,tū,whare,tangata
None,288,mātakitaki,iwi,rātou
None,289,kite,mātou,*
None,290,haere,mātou,tētehi
None,291,rongo,au,kōrero
None,292,kite,au,mana
None,293,whakamau,haere,*
None,294,kite,au,mana
None,295,kite,koe,kupu
None,296,kite,koe,ingoa
None,297,mau,koe,ingoa
None,298,oho,au,ingoa
None,299,mea,au,ērā
None,300,waiata,ia,tuatahi
None,301,oti,whare,tau
None,302,oti,rūri,tēnei
None,303,tīmata,au,rua
None,304,whakahoki,au,utu
None,305,whakaatu,mātou,mātou
None,306,mataku,tāne,koe
None,307,haramai,koe,kūare
None,308,rongo,au,hoa
None,309,whai,au,tāngata
None,310,tata,noho,taha
None,311,kite,koe,tērā
None,312,tautoko,au,ia
None,313,tapahia,tētahi,tōna
None,314,puta,rīpoata,Rōpū
None,315,kinongia,tōna,makariri
None,316,whakahaungia,mātou,tērā
None,317,karangatia,koe,pōwhiritia
None,318,mahi,mātou,tērā
None,319,mahi,au,taha
None,320,tū,ia,wā
None,321,pupuri,mātou,matau
None,322,mahi,rātou,*
None,323,āhua,au,*
None,324,taea,maumahara,rātou
None,325,waea,ētahi,*
None,326,kōrero,ētahi,*
None,327,tuhituhi,rātou,ao
None,328,tahuri,mātou,kaha
None,329,kite,au,ngahorotanga
None,330,kite,ia,ātaahua
None,331,rekareka,rātou,kite
None,332,riro,mana,whānau
None,333,haere,tātou,tēnei
None,334,tīmata,whakapapa,Io
None,335,kite,koe,taku
None,336,haere,ia,whenua
None,337,moe,ia,wahine
None,338,ngenge,ia,tērā
None,339,kite,ia,tōna
None,340,moe,ia,mātou
None,341,noho,rāua,rāua
None,342,kite,koe,*
None,343,kite,koe,*
None,344,huri,ringa,inu
None,345,kite,koe,*
None,346,tū,ia,taha
None,347,kite,koe,wāhanga
None,348,whakaaro,mātou,Rā-kati
None,349,noho,mātou,tērā
None,350,hari,rātou,rātou
None,351,moe,au,tōku
None,352,moe,māua,māua
None,353,kite,rātou,rākau
None,354,torutoru,rātou,tērā
None,355,moe,rāua,rāua
None,356,moe,rāua,rāua
None,357,riro,whenua,tētahi
None,358,puta,tangata,tērā
None,359,huri,koe,haere
None,360,haramai,Pākehā,tērā
None,361,whakatipungia,karaehe,tērā
None,362,mutu,mātou,tērā
None,363,neke,mātou,tau
None,364,nukungia,tēnei,tau
None,365,tīmatangia,whakatū,pōhatu
None,366,tanu,rātou,rātou
None,367,pai,whai,karakia
None,368,kite,koutou,ingoa
None,369,hoki,rātou,pakanga
None,370,haere,kōrero,tapu
None,371,maumahara,au,waiata
None,372,rewa,ngākau,mata
None,373,kōrero,koutou,kaupapa
None,374,unu,rātou,miraka
None,375,kite,tāua,tāua
None,376,rongo,au,rangatahi
None,377,ngaro,reo,rātou
None,378,tino,mātou,*
None,379,tū,hui,*
None,380,puta,ōna,koe
None,381,huri,mātou,*
None,382,whakamahara,wētahi,hui
None,383,kite,au,tēnei
None,384,kaha,au,rātou
None,385,kimi,au,tētahi
None,386,ruaki,ia,tōna
None,387,whiti,au,tāpae
None,388,āwhina,au,tērā
None,389,hurihuri,rātou,ētahi
None,390,kite,au,whakahora
None,391,moe,tātou,tēnei
None,392,haere,mātou,taha
None,393,pai,homai,tētahi
None,394,haere,au,taku
None,395,mahi,mātou,ēnā
None,396,puta,tērā,awa
None,397,moe,mātou,mātou
None,398,wehi,wehi,tērā
None,399,rongo,tāua,tāua
None,400,whai,reo,tērā
None,401,pai,whakamāramatanga,ingoa
None,402,hoki,mokopuna,hokitanga
None,403,kite,au,tika
None,404,hoatu,au,*
None,405,moe,koe,hoa
None,406,tūtaki,koe,nui
None,407,rongo,au,ētahi
None,408,kite,au,mātua
None,409,noho,rātou,Herenga
None,410,tau,mātou,*
None,411,kite,koe,tahi
None,412,moe,ia,*
None,413,pīrangi,rātou,noho
None,414,kōrero,whānau,mea
None,415,mataku,rātou,kōrero
None,416,whiti,koe,whakaaro
None,417,haere,au,koroī
None,418,whakahoki,ia,tōna
None,419,wehea,tauira,rātou
None,420,haere,au,kōrero
None,421,kōrerotia,hūpoki,kōhatu
None,422,mau,koe,kākahu
None,423,kite,au,ia
None,424,kite,au,Wihongi
None,425,nui,kaha,kaumātua
None,426,tautoko,au,tēnā
None,427,puru,au,taku
None,428,whai,tātou,taha
None,429,kite,koutou,maha
None,430,noho,rātou,huihuinga
None,431,kite,tātou,rātou
None,432,rongo,koe,reo
None,433,tīmata,tuku,kōrero
None,434,tuku,koe,*
None,435,piki,mākutu,taha
None,436,whakaatuhia,wēnei,rātou
None,437,koa,ngākau,kitenga
None,438,kite,au,tēnei
None,439,mau,ia,ingoa
None,440,kite,tātou,āhuatanga
None,441,whai,mātou,ērā
None,442,mutu,karanga,tēnei
None,443,tū,mātou,koutou
None,444,kite,koe,hukarere
None,445,hari,koe,tamariki
None,446,tono,māua,rangatira
None,447,uru,koutou,tēnei
None,448,rongo,koutou,koutou
None,449,kite,tātou,tēnei
None,450,haere,tautohetohe,papa
None,451,haere,*,ētahi
None,452,hoki,tēnei,Aupōuri
None,453,kite,au,tino
None,454,haere,rōpū,rātou
None,455,kata,mātou,rongo
None,456,aroha,au,kuia
None,457,tata,au,*
None,458,kite,au,tino
None,459,tino,au,rāua
None,460,kite,māua,whānuitanga
