SubHead,i.te,AE,Key,Diff,DiffAbs,Count
ae,-9.341676782757386e-05,0.00021985215176887533,0.00012643538394130149,-0.0003132689195964492,0.0003132689195964492,9.0
afraid,-9.341676782757386e-05,0.00021985215176887533,0.00012643538394130149,-0.0003132689195964492,0.0003132689195964492,9.0
aha,0.001068375564150713,-0.0003142967158601603,0.0007540788482905526,0.0013826722800108734,0.0013826722800108734,78.0
ahakia,-9.341676782757386e-05,0.00021985215176887533,0.00012643538394130149,-0.0003132689195964492,0.0003132689195964492,9.0
ahakoa,-9.341676782757386e-05,0.00021985215176887533,0.00012643538394130149,-0.0003132689195964492,0.0003132689195964492,9.0
ahi,7.947867119576885e-05,-6.234982322935476e-05,1.712884796641409e-05,0.0001418284944251236,0.0001418284944251236,27.0
ahiahi,0.005722661553060152,-0.0005855663470570044,0.005137095206003147,0.006308227900117157,0.006308227900117157,30.0
aho,-3.552439342420572e-05,4.180252922586344e-05,6.2781358016577234e-06,-7.732692265006915e-05,7.732692265006915e-05,15.0
ahorangi,-3.552439342420572e-05,4.180252922586344e-05,6.2781358016577234e-06,-7.732692265006915e-05,7.732692265006915e-05,13.0
ahu,-3.552439342420572e-05,4.180252922586344e-05,6.2781358016577234e-06,-7.732692265006915e-05,7.732692265006915e-05,103.0
ahurei,0.00023156949761347255,-0.00013624709331714845,9.53224042963241e-05,0.00036781659093062104,0.00036781659093062104,14.0
aihikirīmi,-9.341676782757386e-05,0.00021985215176887533,0.00012643538394130149,-0.0003132689195964492,0.0003132689195964492,9.0
airport,-3.552439342420572e-05,4.180252922586344e-05,6.2781358016577234e-06,-7.732692265006915e-05,7.732692265006915e-05,9.0
aitanga,-9.341676782757386e-05,0.00021985215176887533,0.00012643538394130149,-0.0003132689195964492,0.0003132689195964492,9.0
aituā,-0.00018683353565514772,0.00043970430353775067,0.00025287076788260297,-0.0006265378391928984,0.0006265378391928984,19.0
aka,-9.341676782757386e-05,0.00021985215176887533,0.00012643538394130149,-0.0003132689195964492,0.0003132689195964492,10.0
akiaki,-9.341676782757386e-05,0.00021985215176887533,0.00012643538394130149,-0.0003132689195964492,0.0003132689195964492,8.0
ako,-0.0018432586223219118,0.009977459965255772,0.00813420134293386,-0.011820718587577684,0.011820718587577684,230.0
akoako,-9.341676782757386e-05,0.00021985215176887533,0.00012643538394130149,-0.0003132689195964492,0.0003132689195964492,10.0
akoranga,-9.341676782757386e-05,0.00021985215176887533,0.00012643538394130149,-0.0003132689195964492,0.0003132689195964492,10.0
amo,-9.341676782757386e-05,0.00021985215176887533,0.00012643538394130149,-0.0003132689195964492,0.0003132689195964492,12.0
amokapua,-9.341676782757386e-05,0.00021985215176887533,0.00012643538394130149,-0.0003132689195964492,0.0003132689195964492,10.0
amorangi,-9.341676782757386e-05,0.00021985215176887533,0.00012643538394130149,-0.0003132689195964492,0.0003132689195964492,9.0
amuamu,-9.341676782757386e-05,0.00021985215176887533,0.00012643538394130149,-0.0003132689195964492,0.0003132689195964492,11.0
ana,-3.552439342420572e-05,4.180252922586344e-05,6.2781358016577234e-06,-7.732692265006915e-05,7.732692265006915e-05,10.0
anahera,-9.341676782757386e-05,0.00021985215176887533,0.00012643538394130149,-0.0003132689195964492,0.0003132689195964492,9.0
anga,-3.552439342420572e-05,4.180252922586344e-05,6.2781358016577234e-06,-7.732692265006915e-05,7.732692265006915e-05,36.0
anini,-9.341676782757386e-05,0.00021985215176887533,0.00012643538394130149,-0.0003132689195964492,0.0003132689195964492,9.0
anthropology,-9.341676782757386e-05,0.00021985215176887533,0.00012643538394130149,-0.0003132689195964492,0.0003132689195964492,8.0
anu,-9.341676782757386e-05,0.00021985215176887533,0.00012643538394130149,-0.0003132689195964492,0.0003132689195964492,11.0
ao,0.005016524582911049,-0.0005621983074459777,0.0044543262754650715,0.005578722890357026,0.005578722890357026,68.0
