SubHead,kei.te,AE,Key,Diff,DiffAbs,Count
ae,-8.714391366095359e-05,0.00016685608333643666,7.971216967548307e-05,-0.0002539999969973902,0.0002539999969973902,9.0
afraid,-8.714391366095359e-05,0.00016685608333643666,7.971216967548307e-05,-0.0002539999969973902,0.0002539999969973902,9.0
aha,0.00498013474613187,-0.0005609151327067732,0.004419219613425097,0.005541049878838643,0.005541049878838643,78.0
ahakia,-8.714391366095359e-05,0.00016685608333643666,7.971216967548307e-05,-0.0002539999969973902,0.0002539999969973902,9.0
ahakoa,-8.714391366095359e-05,0.00016685608333643666,7.971216967548307e-05,-0.0002539999969973902,0.0002539999969973902,9.0
ahi,-8.714391366095359e-05,0.00016685608333643666,7.971216967548307e-05,-0.0002539999969973902,0.0002539999969973902,27.0
ahiahi,-8.714391366095359e-05,0.00016685608333643666,7.971216967548307e-05,-0.0002539999969973902,0.0002539999969973902,30.0
aho,-8.714391366095359e-05,0.00016685608333643666,7.971216967548307e-05,-0.0002539999969973902,0.0002539999969973902,15.0
ahorangi,-8.714391366095359e-05,0.00016685608333643666,7.971216967548307e-05,-0.0002539999969973902,0.0002539999969973902,13.0
ahu,0.004557054982154082,-0.0005453424068356109,0.0040117125753184706,0.005102397388989693,0.005102397388989693,103.0
ahurei,-8.714391366095359e-05,0.00016685608333643666,7.971216967548307e-05,-0.0002539999969973902,0.0002539999969973902,14.0
aihikirīmi,-8.714391366095359e-05,0.00016685608333643666,7.971216967548307e-05,-0.0002539999969973902,0.0002539999969973902,9.0
airport,-8.714391366095359e-05,0.00016685608333643666,7.971216967548307e-05,-0.0002539999969973902,0.0002539999969973902,9.0
aitanga,-8.714391366095359e-05,0.00016685608333643666,7.971216967548307e-05,-0.0002539999969973902,0.0002539999969973902,9.0
aituā,-0.0001801338761723495,0.0006898114117588971,0.0005096775355865476,-0.0008699452879312466,0.0008699452879312466,19.0
aka,-8.714391366095359e-05,0.00016685608333643666,7.971216967548307e-05,-0.0002539999969973902,0.0002539999969973902,10.0
akiaki,-8.714391366095359e-05,0.00016685608333643666,7.971216967548307e-05,-0.0002539999969973902,0.0002539999969973902,8.0
ako,-0.0018380974870870414,0.0031133504849056143,0.001275252997818573,-0.004951447971992656,0.004951447971992656,230.0
akoako,-8.714391366095359e-05,0.00016685608333643666,7.971216967548307e-05,-0.0002539999969973902,0.0002539999969973902,10.0
akoranga,-8.714391366095359e-05,0.00016685608333643666,7.971216967548307e-05,-0.0002539999969973902,0.0002539999969973902,10.0
amo,0.00018072506958922524,-0.00011534589166179339,6.537917792743185e-05,0.0002960709612510186,0.0002960709612510186,12.0
amokapua,-8.714391366095359e-05,0.00016685608333643666,7.971216967548307e-05,-0.0002539999969973902,0.0002539999969973902,10.0
amorangi,-8.714391366095359e-05,0.00016685608333643666,7.971216967548307e-05,-0.0002539999969973902,0.0002539999969973902,9.0
amuamu,-8.714391366095359e-05,0.00016685608333643666,7.971216967548307e-05,-0.0002539999969973902,0.0002539999969973902,11.0
ana,-8.714391366095359e-05,0.00016685608333643666,7.971216967548307e-05,-0.0002539999969973902,0.0002539999969973902,10.0
anahera,-8.714391366095359e-05,0.00016685608333643666,7.971216967548307e-05,-0.0002539999969973902,0.0002539999969973902,9.0
anga,0.0015346077909858737,-0.000367292784292599,0.0011673150066932748,0.0019019005752784726,0.0019019005752784726,36.0
anini,-8.714391366095359e-05,0.00016685608333643666,7.971216967548307e-05,-0.0002539999969973902,0.0002539999969973902,9.0
anthropology,-8.714391366095359e-05,0.00016685608333643666,7.971216967548307e-05,-0.0002539999969973902,0.0002539999969973902,8.0
anu,-8.714391366095359e-05,0.00016685608333643666,7.971216967548307e-05,-0.0002539999969973902,0.0002539999969973902,11.0
ao,0.00039534404544735313,-0.0001892431617495871,0.00020610088369776603,0.0005845872071969403,0.0005845872071969403,68.0
aoaketanga,-8.714391366095359e-05,0.00016685608333643666,7.971216967548307e-05,-0.0002539999969973902,0.0002539999969973902,10.0
aorangi,-8.714391366095359e-05,0.00016685608333643666,7.971216967548307e-05,-0.0002539999969973902,0.0002539999969973902,9.0
aotearoa,-8.714391366095359e-05,0.00016685608333643666,7.971216967548307e-05,-0.0002539999969973902,0.0002539999969973902,9.0
apology,-8.714391366095359e-05,0.00016685608333643666,7.971216967548307e-05,-0.0002539999969973902,0.0002539999969973902,9.0
