SubHead,ka,AE,Key,Diff,DiffAbs,Count
ae,-9.016030772664425e-05,0.0001859599771104778,9.579966938383354e-05,-0.000276120284837122,0.000276120284837122,9.0
afraid,-8.824269079338908e-05,0.00036400959965348967,0.00027576690886010056,-0.0004522522904468788,0.0004522522904468788,9.0
aha,0.0006718266962339304,-0.00025194089425824176,0.0004198858019756886,0.0009237675904921721,0.0009237675904921721,78.0
ahakia,-9.016030772664425e-05,0.0001859599771104778,9.579966938383354e-05,-0.000276120284837122,0.000276120284837122,9.0
ahakoa,-9.016030772664425e-05,0.0001859599771104778,9.579966938383354e-05,-0.000276120284837122,0.000276120284837122,9.0
ahi,-8.824269079338908e-05,0.00036400959965348967,0.00027576690886010056,-0.0004522522904468788,0.0004522522904468788,27.0
ahiahi,-8.824269079338908e-05,0.00036400959965348967,0.00027576690886010056,-0.0004522522904468788,0.0004522522904468788,30.0
aho,-8.824269079338908e-05,0.00036400959965348967,0.00027576690886010056,-0.0004522522904468788,0.0004522522904468788,15.0
ahorangi,-8.824269079338908e-05,0.00036400959965348967,0.00027576690886010056,-0.0004522522904468788,0.0004522522904468788,13.0
ahu,0.00333913841984412,-0.0004919381296491571,0.002847200290194963,0.0038310765494932774,0.0038310765494932774,103.0
ahurei,-8.824269079338908e-05,0.00036400959965348967,0.00027576690886010056,-0.0004522522904468788,0.0004522522904468788,14.0
aihikirīmi,-8.824269079338908e-05,0.00036400959965348967,0.00027576690886010056,-0.0004522522904468788,0.0004522522904468788,9.0
airport,-8.824269079338908e-05,0.00036400959965348967,0.00027576690886010056,-0.0004522522904468788,0.0004522522904468788,9.0
aitanga,-8.824269079338908e-05,0.00036400959965348967,0.00027576690886010056,-0.0004522522904468788,0.0004522522904468788,9.0
aituā,-0.00011899012993944538,0.00016361524931051918,4.4625119371073804e-05,-0.00028260537924996456,0.00028260537924996456,19.0
aka,-8.824269079338908e-05,0.00036400959965348967,0.00027576690886010056,-0.0004522522904468788,0.0004522522904468788,10.0
akiaki,-8.824269079338908e-05,0.00036400959965348967,0.00027576690886010056,-0.0004522522904468788,0.0004522522904468788,8.0
ako,-0.0021509176269718464,0.006802435841642609,0.004651518214670762,-0.008953353468614455,0.008953353468614455,230.0
akoako,-8.824269079338908e-05,0.00036400959965348967,0.00027576690886010056,-0.0004522522904468788,0.0004522522904468788,10.0
akoranga,-8.824269079338908e-05,0.00036400959965348967,0.00027576690886010056,-0.0004522522904468788,0.0004522522904468788,10.0
amo,-9.016030772664425e-05,0.0001859599771104778,9.579966938383354e-05,-0.000276120284837122,0.000276120284837122,12.0
amokapua,-8.824269079338908e-05,0.00036400959965348967,0.00027576690886010056,-0.0004522522904468788,0.0004522522904468788,10.0
amorangi,-8.824269079338908e-05,0.00036400959965348967,0.00027576690886010056,-0.0004522522904468788,0.0004522522904468788,9.0
amuamu,-8.824269079338908e-05,0.00036400959965348967,0.00027576690886010056,-0.0004522522904468788,0.0004522522904468788,11.0
ana,-8.824269079338908e-05,0.00036400959965348967,0.00027576690886010056,-0.0004522522904468788,0.0004522522904468788,10.0
anahera,-8.824269079338908e-05,0.00036400959965348967,0.00027576690886010056,-0.0004522522904468788,0.0004522522904468788,9.0
anga,0.00043721382732216557,-0.00020039435034297046,0.0002368194769791951,0.0006376081776651361,0.0006376081776651361,36.0
anini,-8.824269079338908e-05,0.00036400959965348967,0.00027576690886010056,-0.0004522522904468788,0.0004522522904468788,9.0
anthropology,-8.824269079338908e-05,0.00036400959965348967,0.00027576690886010056,-0.0004522522904468788,0.0004522522904468788,8.0
anu,-8.824269079338908e-05,0.00036400959965348967,0.00027576690886010056,-0.0004522522904468788,0.0004522522904468788,11.0
ao,-9.016030772664425e-05,0.0001859599771104778,9.579966938383354e-05,-0.000276120284837122,0.000276120284837122,68.0
aoaketanga,-8.824269079338908e-05,0.00036400959965348967,0.00027576690886010056,-0.0004522522904468788,0.0004522522904468788,10.0
aorangi,-8.824269079338908e-05,0.00036400959965348967,0.00027576690886010056,-0.0004522522904468788,0.0004522522904468788,9.0
aotearoa,-8.824269079338908e-05,0.00036400959965348967,0.00027576690886010056,-0.0004522522904468788,0.0004522522904468788,9.0
apology,-8.824269079338908e-05,0.00036400959965348967,0.00027576690886010056,-0.0004522522904468788,0.0004522522904468788,9.0
