Argument,mā,nā,Key,Diff,DiffAbs,Count
*,0.04847799266729159,-0.04185618486670988,0.0066218078005817055,0.09033417753400147,0.09033417753400147,494.0
a,-0.014974104604184841,0.04155663296428568,0.02658252836010084,-0.056530737568470525,0.056530737568470525,44.0
ana,-0.0017923049504486208,0.003730548217473211,0.0019382432670245902,-0.005522853167921832,0.005522853167921832,6.0
aua,0.006388671260502736,-0.003324384917996971,0.003064286342505765,0.009713056178499707,0.009713056178499707,12.0
e,0.015971678151256843,-0.008310962294992428,0.0076607158562644155,0.02428264044624927,0.02428264044624927,30.0
he,0.042855021403453035,-0.01783990203970717,0.025015119363745866,0.0606949234431602,0.0606949234431602,56.0
hei,-0.0001951371353229369,0.00020308164973812005,7.944514415183157e-06,-0.00039821878506105695,0.00039821878506105695,8.0
i,0.023814375626861225,-0.016817658396613828,0.006996717230247397,0.04063203402347505,0.04063203402347505,94.0
ka,0.0024232423303495398,-0.0018914238799865684,0.0005318184503629714,0.004314666210336108,0.004314666210336108,14.0
kei,0.013167616791651345,-0.003425925742866031,0.009741691048785315,0.016593542534517378,0.016593542534517378,10.0
ki,-0.011726578623158204,0.021356994019148815,0.009630415395990612,-0.03308357264230702,0.03308357264230702,44.0
kia,-0.00029270570298440445,0.0003046224746071792,1.1916771622774735e-05,-0.0005973281775915836,0.0005973281775915836,12.0
ko,-0.002402843153730965,0.0033342251056012375,0.0009313819518702725,-0.005737068259332203,0.005737068259332203,14.0
kua,0.003194335630251368,-0.0016621924589984855,0.0015321431712528825,0.004856528089249854,0.004856528089249854,6.0
me,-0.0040395929188718665,0.0070067578618260955,0.002967164942954229,-0.011046350780697961,0.011046350780697961,16.0
mā,0.01918743726479902,-0.0039937210388309415,0.01519371622596808,0.023181158303629962,0.023181158303629962,12.0
ngā,0.055414124391988805,-0.03669919919830302,0.018714925193685783,0.09211332359029183,0.09211332359029183,180.0
nā,-0.0040395929188718665,0.0070067578618260955,0.002967164942954229,-0.011046350780697961,0.011046350780697961,16.0
o,-0.005936716663014391,0.00706104577294914,0.001124329109934749,-0.01299776243596353,0.01299776243596353,60.0
tana,-0.007550038831050438,0.03535838796068278,0.027808349129632343,-0.04290842679173322,0.04290842679173322,22.0
taua,-0.006321117421363856,0.023024629996647228,0.016703512575283373,-0.029345747418011082,0.029345747418011082,18.0
te,-0.07731609593524756,0.1277203571934095,0.05040426125816193,-0.20503645312865704,0.20503645312865704,326.0
tā,0.03221894052182054,-0.007451256247342155,0.024767684274478383,0.0396701967691627,0.0396701967691627,22.0
tō,-0.007169219801794483,0.014922192869892844,0.007752973068098361,-0.02209141267168733,0.02209141267168733,24.0
wā,0.003194335630251368,-0.0016621924589984855,0.0015321431712528825,0.004856528089249854,0.004856528089249854,6.0
wō,-0.0017923049504486208,0.003730548217473211,0.0019382432670245902,-0.005522853167921832,0.005522853167921832,6.0
ā,0.0634178166622815,-0.0059999738641853175,0.057417842798096176,0.06941779052646681,0.06941779052646681,24.0
ō,-0.007673498888455496,0.014374630742190675,0.006701131853735179,-0.02204812963064617,0.02204812963064617,28.0
