Argument,mā,nā,Key,Diff,DiffAbs,Count
aha,0.007703230455313995,-0.0019476297964214568,0.005755600658892538,0.009650860251735453,0.009650860251735453,10.0
ahau,-0.001957369868300046,0.007918198787344097,0.005960828919044051,-0.009875568655644144,0.009875568655644144,10.0
ako,0.0019100264865927255,-0.0009658349231070863,0.0009441915634856393,0.002875861409699812,0.002875861409699812,6.0
aotearoa,0.007703230455313995,-0.0019476297964214568,0.005755600658892538,0.009650860251735453,0.009650860251735453,10.0
ara,-0.00098657549776791,0.0019955096470433077,0.0010089341492753978,-0.0029820851448112175,0.0029820851448112175,6.0
arawhata,-0.001554453800440409,0.004716204023432516,0.003161750222992107,-0.006270657823872925,0.006270657823872925,8.0
ata,-0.001554453800440409,0.004716204023432516,0.003161750222992107,-0.006270657823872925,0.006270657823872925,8.0
atu,0.004568674637906585,-0.0015401481073962712,0.0030285265305103138,0.006108822745302857,0.006108822745302857,8.0
au,-0.005600315722763392,0.012460305860222006,0.006859990137458614,-0.0180606215829854,0.0180606215829854,32.0
awa,-0.00098657549776791,0.0019955096470433077,0.0010089341492753978,-0.0029820851448112175,0.0029820851448112175,6.0
awau,-0.00098657549776791,0.0019955096470433077,0.0010089341492753978,-0.0029820851448112175,0.0029820851448112175,6.0
awhi,-0.00098657549776791,0.0019955096470433077,0.0010089341492753978,-0.0029820851448112175,0.0029820851448112175,6.0
charlie,-0.00098657549776791,0.0019955096470433077,0.0010089341492753978,-0.0029820851448112175,0.0029820851448112175,6.0
haere,0.0019100264865927255,-0.0009658349231070863,0.0009441915634856393,0.002875861409699812,0.002875861409699812,6.0
haki,-0.001554453800440409,0.004716204023432516,0.003161750222992107,-0.006270657823872925,0.006270657823872925,8.0
hanga,0.0019100264865927255,-0.0009658349231070863,0.0009441915634856393,0.002875861409699812,0.002875861409699812,6.0
hara,-0.00098657549776791,0.0019955096470433077,0.0010089341492753978,-0.0029820851448112175,0.0029820851448112175,6.0
hau,0.004568674637906585,-0.0015401481073962712,0.0030285265305103138,0.006108822745302857,0.006108822745302857,8.0
henare,0.0019100264865927255,-0.0009658349231070863,0.0009441915634856393,0.002875861409699812,0.002875861409699812,6.0
hereni,-0.00098657549776791,0.0019955096470433077,0.0010089341492753978,-0.0029820851448112175,0.0029820851448112175,6.0
hiahia,-0.00098657549776791,0.0019955096470433077,0.0010089341492753978,-0.0029820851448112175,0.0029820851448112175,6.0
hine-nui-i-te-pō,-0.00098657549776791,0.0019955096470433077,0.0010089341492753978,-0.0029820851448112175,0.0029820851448112175,6.0
hine-nui-te-pō,-0.00098657549776791,0.0019955096470433077,0.0010089341492753978,-0.0029820851448112175,0.0029820851448112175,6.0
hoki,-0.001554453800440409,0.004716204023432516,0.003161750222992107,-0.006270657823872925,0.006270657823872925,8.0
hoko,-0.00098657549776791,0.0019955096470433077,0.0010089341492753978,-0.0029820851448112175,0.0029820851448112175,6.0
huarahi,0.0014374271592236323,-0.001211429404728132,0.00022599775449550028,0.0026488565639517644,0.0026488565639517644,22.0
hui,-0.0021936695319845923,0.0036975449618437185,0.0015038754298591262,-0.00589121449382831,0.00589121449382831,16.0
hui-tanguru,0.0019100264865927255,-0.0009658349231070863,0.0009441915634856393,0.002875861409699812,0.002875861409699812,6.0
hāhi,-0.001957369868300046,0.007918198787344097,0.005960828919044051,-0.009875568655644144,0.009875568655644144,10.0
hāmene,-0.00098657549776791,0.0019955096470433077,0.0010089341492753978,-0.0029820851448112175,0.0029820851448112175,6.0
hīnau,0.0019100264865927255,-0.0009658349231070863,0.0009441915634856393,0.002875861409699812,0.002875861409699812,6.0
i,0.0019100264865927255,-0.0009658349231070863,0.0009441915634856393,0.002875861409699812,0.002875861409699812,6.0
ia,-0.00151410380979789,0.0016704663201581667,0.00015636251036027678,-0.0031845701299560566,0.0031845701299560566,46.0
