Predecessor,Sequence_x
*,68
e,29
ka,28
te,22
ko.te,17
i.te,16
i,16
kia,14
he,9
kua,9
ngā,9
ki.te,8
a.te,7
o.te,7
a,5
o.ngā,4
mā,4
nā.te,4
ki.ngā,3
ko,3
ā,3
nā,3
i.ngā,3
hei,2
nō.te,2
ki,2
o,2
ko.ngā,2
me.te,1
i.tā,1
e.te,1
kei,1
kei.te,1
ki.tana,1
ko.taku,1
ko.tō,1
me.taku,1
mā.te,1
mō.ngā,1
mō.te,1
me,1
e.ō,1
tō,1
mō.ō,1
nō,1
ā.tō,1
ō,1
