SubHead,mā,nā,Key,Diff,DiffAbs,Count
aituā,-0.0006754876777340195,0.0014471986713845662,0.0007717109936505467,-0.002122686349118586,0.002122686349118586,6.0
ako,-0.0046246958273139845,0.00825681686168119,0.0036321210343672056,-0.012881512688995175,0.012881512688995175,48.0
arataki,-0.001541565275771328,0.0027522722872270625,0.0012107070114557345,-0.004293837562998391,0.004293837562998391,16.0
atawhai,-0.001350975355468039,0.0028943973427691325,0.0015434219873010934,-0.004245372698237172,0.004245372698237172,12.0
aukati,0.0008953781600641905,-0.0006394343555254238,0.0002559438045387667,0.0015348125155896144,0.0015348125155896144,10.0
awhi,0.001790756320128381,-0.0012788687110508476,0.0005118876090775333,0.0030696250311792288,0.0030696250311792288,20.0
eke,-0.0006754876777340195,0.0014471986713845662,0.0007717109936505467,-0.002122686349118586,0.002122686349118586,6.0
haehae,-0.0006754876777340195,0.0014471986713845662,0.0007717109936505467,-0.002122686349118586,0.002122686349118586,6.0
haere,0.007347269804963985,-0.0022487370343235316,0.005098532770640454,0.009596006839287517,0.009596006839287517,18.0
hahau,-0.0006754876777340195,0.0014471986713845662,0.0007717109936505467,-0.002122686349118586,0.002122686349118586,6.0
haina,0.004671955465233552,-0.0012511789565012932,0.003420776508732259,0.005923134421734846,0.005923134421734846,10.0
hanga,-0.007439010781729296,0.03984427427251019,0.03240526349078089,-0.04728328505423948,0.04728328505423948,60.0
haramai,0.0008953781600641905,-0.0006394343555254238,0.0002559438045387667,0.0015348125155896144,0.0015348125155896144,10.0
hari,0.0014562088432729572,-0.0012132768836639516,0.0002429319596090056,0.0026694857269369088,0.0026694857269369088,32.0
harry,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
hauhau,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
hautū,0.0037565949111264475,-0.0016096634604940672,0.0021469314506323803,0.005366258371620514,0.005366258371620514,14.0
heke,-0.0010349425608086335,0.003325969255248258,0.0022910266944396246,-0.004360911816056892,0.004360911816056892,8.0
here,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
heri,-0.00012199099277310066,0.00013067980992218195,8.688817149081292e-06,-0.0002526708026952826,0.0002526708026952826,8.0
hiahia,-0.0010349425608086335,0.003325969255248258,0.0022910266944396246,-0.004360911816056892,0.004360911816056892,8.0
hiki,0.009343910930467105,-0.0025023579130025865,0.006841553017464518,0.011846268843469692,0.011846268843469692,20.0
hinga,-0.0006754876777340195,0.0014471986713845662,0.0007717109936505467,-0.002122686349118586,0.002122686349118586,6.0
hoatu,-0.0003049774819327508,0.0003266995248054539,2.172204287270306e-05,-0.0006316770067382047,0.0006316770067382047,20.0
hohou,-0.0006754876777340195,0.0014471986713845662,0.0007717109936505467,-0.002122686349118586,0.002122686349118586,6.0
hoki,-0.0006754876777340195,0.0014471986713845662,0.0007717109936505467,-0.002122686349118586,0.002122686349118586,6.0
hoko,0.0005296403540094036,-0.0004863120222406245,4.332833176877904e-05,0.0010159523762500282,0.0010159523762500282,26.0
homai,-0.0011859234029323778,0.0014821226954026677,0.00029619929247029,-0.0026680460983350453,0.0026680460983350453,26.0
hono,-0.0006754876777340195,0.0014471986713845662,0.0007717109936505467,-0.002122686349118586,0.002122686349118586,6.0
hopu,0.0008953781600641905,-0.0006394343555254238,0.0002559438045387667,0.0015348125155896144,0.0015348125155896144,10.0
horoi,0.002738854704106598,-0.0009779766084939041,0.0017608780956126938,0.003716831312600502,0.003716831312600502,8.0
hua,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
hura,0.002738854704106598,-0.0009779766084939041,0.0017608780956126938,0.003716831312600502,0.003716831312600502,8.0
huri,-0.0006754876777340195,0.0014471986713845662,0.0007717109936505467,-0.002122686349118586,0.002122686349118586,6.0
huti,-0.0006754876777340195,0.0014471986713845662,0.0007717109936505467,-0.002122686349118586,0.002122686349118586,6.0
hāmene,-0.0012899798590814888,0.005527435065693901,0.004237455206612412,-0.006817414924775389,0.006817414924775389,10.0
hāpai,0.016106333275977106,-0.003981578771707688,0.01212475450426942,0.020087912047684793,0.020087912047684793,32.0
hē,-0.0006754876777340195,0.0014471986713845662,0.0007717109936505467,-0.002122686349118586,0.002122686349118586,6.0
hūpoki,-0.00012199099277310066,0.00013067980992218195,8.688817149081292e-06,-0.0002526708026952826,0.0002526708026952826,8.0
ihowa,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
ingarangi,-0.0006754876777340195,0.0014471986713845662,0.0007717109936505467,-0.002122686349118586,0.002122686349118586,6.0
inoi,-0.0008409007589223283,0.0013511909630546813,0.000510290204132353,-0.0021920917219770096,0.0021920917219770096,10.0
kaha,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
kai,0.006829055817863794,-0.0014630911609782259,0.005365964656885568,0.00829214697884202,0.00829214697884202,12.0
kaiarataki,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
kaitiaki,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
kaiwhakahaere,0.002738854704106598,-0.0009779766084939041,0.0017608780956126938,0.003716831312600502,0.003716831312600502,8.0
kaiārahi,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
kapi,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
kapo,-0.0006754876777340195,0.0014471986713845662,0.0007717109936505467,-0.002122686349118586,0.002122686349118586,6.0
karanga,-0.0022284351342533736,0.004177522274469288,0.0019490871402159144,-0.006405957408722662,0.006405957408722662,22.0
kati,-0.0006754876777340195,0.0014471986713845662,0.0007717109936505467,-0.002122686349118586,0.002122686349118586,6.0
kaute,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
kawe,0.007748953589452866,-0.004150436680390709,0.0035985169090621575,0.011899390269843574,0.011899390269843574,42.0
kerēmu,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
kimi,0.0006841340043891005,-0.0005862891980633659,9.784480632573462e-05,0.0012704232024524664,0.0012704232024524664,18.0
kiri,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
kite,0.0006841340043891005,-0.0005862891980633659,9.784480632573462e-05,0.0012704232024524664,0.0012704232024524664,18.0
koha,-0.0006754876777340195,0.0014471986713845662,0.0007717109936505467,-0.002122686349118586,0.002122686349118586,6.0
kohi,-0.0010349425608086335,0.003325969255248258,0.0022910266944396246,-0.004360911816056892,0.004360911816056892,8.0
kohikohi,-0.0010349425608086335,0.003325969255248258,0.0022910266944396246,-0.004360911816056892,0.004360911816056892,8.0
konei,-0.0012899798590814888,0.005527435065693901,0.004237455206612412,-0.006817414924775389,0.006817414924775389,10.0
konā,-0.0006754876777340195,0.0014471986713845662,0.0007717109936505467,-0.002122686349118586,0.002122686349118586,6.0
kore,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
kotiti,-0.0006754876777340195,0.0014471986713845662,0.0007717109936505467,-0.002122686349118586,0.002122686349118586,6.0
kuhu,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
kui,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
kuia,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
kura,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
kāwana,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
kī,0.003984925410386445,-0.003145396215365759,0.0008395291950206857,0.007130321625752204,0.007130321625752204,66.0
kīnaki,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
kōhuru,-0.0017860931462582816,0.013393154304705978,0.011607061158447696,-0.01517924745096426,0.01517924745096426,16.0
kōkiri,0.0008953781600641905,-0.0006394343555254238,0.0002559438045387667,0.0015348125155896144,0.0015348125155896144,10.0
kōrero,0.06073542104803618,-0.01626532643451681,0.04447009461351936,0.07700074748255299,0.07700074748255299,130.0
maha,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
mahi,0.017763685283592286,-0.008457291125838177,0.00930639415775411,0.026220976409430462,0.026220976409430462,78.0
manaaki,0.02599595036868131,-0.0072645688135445355,0.018731381555136775,0.03326051918222585,0.03326051918222585,58.0
mau,-0.0037718049154228817,0.006926489124293058,0.003154684208870176,-0.01069829403971594,0.01069829403971594,38.0
maumahara,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
mea,-0.0011131404109839687,0.0014309086992477682,0.0003177682882637995,-0.002544049110231737,0.002544049110231737,22.0
mema,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
mihi,0.0008953781600641905,-0.0006394343555254238,0.0002559438045387667,0.0015348125155896144,0.0015348125155896144,10.0
moe,-0.00012199099277310066,0.00013067980992218195,8.688817149081292e-06,-0.0002526708026952826,0.0002526708026952826,8.0
moemoe,-0.0006754876777340195,0.0014471986713845662,0.0007717109936505467,-0.002122686349118586,0.002122686349118586,6.0
morimori,-0.0006754876777340195,0.0014471986713845662,0.0007717109936505467,-0.002122686349118586,0.002122686349118586,6.0
motu-ngangara,-0.0006754876777340195,0.0014471986713845662,0.0007717109936505467,-0.002122686349118586,0.002122686349118586,6.0
muku,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
muru,-0.0016494347421561026,0.010601495094883668,0.008952060352727565,-0.01225092983703977,0.01225092983703977,14.0
mātakitaki,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
mātua,-0.0006754876777340195,0.0014471986713845662,0.0007717109936505467,-0.002122686349118586,0.002122686349118586,6.0
mōhio,0.0008953781600641905,-0.0006394343555254238,0.0002559438045387667,0.0015348125155896144,0.0015348125155896144,10.0
nanakia,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
ngau,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
noho,0.0019593204957533777,-0.0012593239425696923,0.0006999965531836853,0.0032186444383230702,0.0032186444383230702,16.0
ohorere,-0.0006754876777340195,0.0014471986713845662,0.0007717109936505467,-0.002122686349118586,0.002122686349118586,6.0
ora,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
oranga,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
oti,-0.0012899798590814888,0.005527435065693901,0.004237455206612412,-0.006817414924775389,0.006817414924775389,10.0
pai,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
pakanga,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
panga,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
paopao,-0.0006754876777340195,0.0014471986713845662,0.0007717109936505467,-0.002122686349118586,0.002122686349118586,6.0
para,-0.0008409007589223283,0.0013511909630546813,0.000510290204132353,-0.0021920917219770096,0.0021920917219770096,10.0
parau,-0.0006754876777340195,0.0014471986713845662,0.0007717109936505467,-0.002122686349118586,0.002122686349118586,6.0
pare,-0.0006754876777340195,0.0014471986713845662,0.0007717109936505467,-0.002122686349118586,0.002122686349118586,6.0
patapatai,-0.0006754876777340195,0.0014471986713845662,0.0007717109936505467,-0.002122686349118586,0.002122686349118586,6.0
patu,-0.0008409007589223283,0.0013511909630546813,0.000510290204132353,-0.0021920917219770096,0.0021920917219770096,10.0
pei,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
petihana,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
piki,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
poipoi,-0.001487802156345859,0.007968854854502038,0.006481052698156179,-0.009456657010847897,0.009456657010847897,12.0
pupuri,0.0037565949111264475,-0.0016096634604940672,0.0021469314506323803,0.005366258371620514,0.005366258371620514,14.0
puta,-0.0010349425608086335,0.003325969255248258,0.0022910266944396246,-0.004360911816056892,0.004360911816056892,8.0
pā,-0.0010349425608086335,0.003325969255248258,0.0022910266944396246,-0.004360911816056892,0.004360911816056892,8.0
pākaitore,-0.0006754876777340195,0.0014471986713845662,0.0007717109936505467,-0.002122686349118586,0.002122686349118586,6.0
pānui,-0.00012199099277310066,0.00013067980992218195,8.688817149081292e-06,-0.0002526708026952826,0.0002526708026952826,8.0
pāpaku,-0.0006754876777340195,0.0014471986713845662,0.0007717109936505467,-0.002122686349118586,0.002122686349118586,6.0
pātai,-0.00012199099277310066,0.00013067980992218195,8.688817149081292e-06,-0.0002526708026952826,0.0002526708026952826,8.0
pātukituki,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
pēhea,-0.0006754876777340195,0.0014471986713845662,0.0007717109936505467,-0.002122686349118586,0.002122686349118586,6.0
pērā,-0.0006754876777340195,0.0014471986713845662,0.0007717109936505467,-0.002122686349118586,0.002122686349118586,6.0
pīkau,0.004671955465233552,-0.0012511789565012932,0.003420776508732259,0.005923134421734846,0.005923134421734846,10.0
pīra,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
pōhiri,-0.0017466199499967796,0.004677557700846076,0.0029309377508492966,-0.006424177650842856,0.006424177650842856,14.0
pōwhiri,-0.0009480983839782174,0.001354169011873921,0.00040607062789570366,-0.0023022673958521386,0.0023022673958521386,14.0
pūremu,-0.0006754876777340195,0.0014471986713845662,0.0007717109936505467,-0.002122686349118586,0.002122686349118586,6.0
rangahau,-0.0010349425608086335,0.003325969255248258,0.0022910266944396246,-0.004360911816056892,0.004360911816056892,8.0
rapu,0.008216564112319793,-0.0029339298254817117,0.0052826342868380815,0.011150493937801504,0.011150493937801504,24.0
raru,-0.0006754876777340195,0.0014471986713845662,0.0007717109936505467,-0.002122686349118586,0.002122686349118586,6.0
raupatu,-0.0010349425608086335,0.003325969255248258,0.0022910266944396246,-0.004360911816056892,0.004360911816056892,8.0
raweke,-0.0010349425608086335,0.003325969255248258,0.0022910266944396246,-0.004360911816056892,0.004360911816056892,8.0
reo,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
rere,0.002738854704106598,-0.0009779766084939041,0.0017608780956126938,0.003716831312600502,0.003716831312600502,8.0
rewherī,-0.0006754876777340195,0.0014471986713845662,0.0007717109936505467,-0.002122686349118586,0.002122686349118586,6.0
riro,-0.0006754876777340195,0.0014471986713845662,0.0007717109936505467,-0.002122686349118586,0.002122686349118586,6.0
rongoā,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
rua,0.002738854704106598,-0.0009779766084939041,0.0017608780956126938,0.003716831312600502,0.003716831312600502,8.0
rui,-0.0010349425608086335,0.003325969255248258,0.0022910266944396246,-0.004360911816056892,0.004360911816056892,8.0
ruke,-0.0006754876777340195,0.0014471986713845662,0.0007717109936505467,-0.002122686349118586,0.002122686349118586,6.0
rāhui,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
rō,-0.0006754876777340195,0.0014471986713845662,0.0007717109936505467,-0.002122686349118586,0.002122686349118586,6.0
rūkahu,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
rūrū,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
rūātoki,-0.0006754876777340195,0.0014471986713845662,0.0007717109936505467,-0.002122686349118586,0.002122686349118586,6.0
stratford,-0.0006754876777340195,0.0014471986713845662,0.0007717109936505467,-0.002122686349118586,0.002122686349118586,6.0
tae,-0.002436438245508597,0.006089938710521012,0.0036535004650124154,-0.008526376956029608,0.008526376956029608,20.0
tahitahi,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
tahu,-0.0010349425608086335,0.003325969255248258,0.0022910266944396246,-0.004360911816056892,0.004360911816056892,8.0
taka-hue,-0.0006754876777340195,0.0014471986713845662,0.0007717109936505467,-0.002122686349118586,0.002122686349118586,6.0
takahi,-0.0011131404109839687,0.0014309086992477682,0.0003177682882637995,-0.002544049110231737,0.002544049110231737,22.0
takai,-0.0006754876777340195,0.0014471986713845662,0.0007717109936505467,-0.002122686349118586,0.002122686349118586,6.0
takatakahi,-0.0008409007589223283,0.0013511909630546813,0.000510290204132353,-0.0021920917219770096,0.0021920917219770096,10.0
takawaenga,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
taki,-0.0010349425608086335,0.003325969255248258,0.0022910266944396246,-0.004360911816056892,0.004360911816056892,8.0
takoha,-0.0006754876777340195,0.0014471986713845662,0.0007717109936505467,-0.002122686349118586,0.002122686349118586,6.0
takutaku,-0.0006754876777340195,0.0014471986713845662,0.0007717109936505467,-0.002122686349118586,0.002122686349118586,6.0
tangi,-0.0030150775089532204,0.09043514533977066,0.08742006783081745,-0.09345022284872388,0.09345022284872388,58.0
tango,-0.0027887948877664947,0.013443421510259,0.010654626622492506,-0.016232216398025495,0.016232216398025495,22.0
tao,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
taonga,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
tapa,-0.0010349425608086335,0.003325969255248258,0.0022910266944396246,-0.004360911816056892,0.004360911816056892,8.0
tapahi,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
tarai,0.002738854704106598,-0.0009779766084939041,0.0017608780956126938,0.003716831312600502,0.003716831312600502,8.0
tari,-0.0006754876777340195,0.0014471986713845662,0.0007717109936505467,-0.002122686349118586,0.002122686349118586,6.0
tau,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
tauira,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
taunga,0.0011069933699218379,-0.0005929195257701012,0.0005140738441517367,0.001699912895691939,0.001699912895691939,6.0
tautohe,-0.0006754876777340195,0.0014471986713845662,0.0007717109936505467,-0.002122686349118586,0.002122686349118586,6.0
tautohetohe,-0.0006754876777340195,0.0014471986713845662,0.0007717109936505467,-0.002122686349118586,0.002122686349118586,6.0
tautoko,0.01868782186093421,-0.005004715826005173,0.013683106034929036,0.023692537686939383,0.023692537686939383,40.0
