Head,mā,nā,AE
na,0.059154929577464786,0.1686868686868687,0.11192214111922141
rātou,0.08732394366197183,0.09696969696969697,0.09197080291970802
ku,0.08262910798122065,0.028282828282828285,0.056447688564476885
wai,0.03474178403755868,0.030303030303030304,0.03260340632603406
u,0.030985915492957747,0.02727272727272727,0.029197080291970802
mātou,0.03755868544600939,0.01818181818181818,0.028223844282238442
koutou,0.01784037558685446,0.02727272727272727,0.02238442822384428
tātou,0.03004694835680751,0.014141414141414142,0.02238442822384428
iwi,0.024413145539906103,0.010101010101010102,0.017518248175182483
māori,0.018779342723004695,0.00404040404040404,0.01167883211678832
atua,0.012206572769953052,0.010101010101010102,0.01119221411192214
kāwana,0.009389671361502348,0.012121212121212121,0.01070559610705596
kāwanatanga,0.008450704225352112,0.00909090909090909,0.008759124087591242
wā,0.013145539906103286,0.0030303030303030303,0.00827250608272506
whānau,0.005633802816901409,0.007070707070707071,0.006326034063260341
kōti,0.006572769953051643,0.006060606060606061,0.006326034063260341
rāua,0.0028169014084507044,0.00909090909090909,0.00583941605839416
poari,0.005633802816901409,0.005050505050505051,0.00535279805352798
tētahi,0.006572769953051643,0.0030303030303030303,0.004866180048661801
tangata,0.005633802816901409,0.00404040404040404,0.004866180048661801
pākehā,0.004694835680751174,0.005050505050505051,0.004866180048661801
tauiwi,0.005633802816901409,0.0030303030303030303,0.004379562043795621
tāua,0.007511737089201878,0.00101010101010101,0.004379562043795621
karauna,0.0028169014084507044,0.00404040404040404,0.0034063260340632603
toru,0.005633802816901409,0.00101010101010101,0.0034063260340632603
koroua,0.0018779342723004694,0.005050505050505051,0.0034063260340632603
rōpū,0.004694835680751174,0.00202020202020202,0.0034063260340632603
rangatira,0.003755868544600939,0.0030303030303030303,0.0034063260340632603
kaihanga,0.005633802816901409,0.00101010101010101,0.0034063260340632603
aha,0.0028169014084507044,0.00404040404040404,0.0034063260340632603
reo,0.004694835680751174,0.00101010101010101,0.00291970802919708
ture,0.003755868544600939,0.00202020202020202,0.00291970802919708
rohe,0.004694835680751174,0.00101010101010101,0.00291970802919708
kore,0.0009389671361502347,0.005050505050505051,0.00291970802919708
tēnei,0.0028169014084507044,0.0030303030303030303,0.00291970802919708
wahine,0.0028169014084507044,0.0030303030303030303,0.00291970802919708
kura,0.0018779342723004694,0.00404040404040404,0.00291970802919708
kaha,0.0009389671361502347,0.005050505050505051,0.00291970802919708
tāngata,0.0028169014084507044,0.0030303030303030303,0.00291970802919708
rangatahi,0.003755868544600939,0.00202020202020202,0.00291970802919708
waiata,0.003755868544600939,0.00202020202020202,0.00291970802919708
matua,0.0018779342723004694,0.00404040404040404,0.00291970802919708
minita,0.0018779342723004694,0.00404040404040404,0.00291970802919708
mātua,0.0028169014084507044,0.0030303030303030303,0.00291970802919708
tari,0.0028169014084507044,0.0030303030303030303,0.00291970802919708
apirana,0.0009389671361502347,0.005050505050505051,0.00291970802919708
māua,0.0009389671361502347,0.005050505050505051,0.00291970802919708
kaumātua,0.0018779342723004694,0.00404040404040404,0.00291970802919708
moni,0.004694835680751174,0.00101010101010101,0.00291970802919708
aurere,0.003755868544600939,0.00101010101010101,0.0024330900243309003
pōti,0.003755868544600939,0.00101010101010101,0.0024330900243309003
